            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460676.559027778, A.D. 2025-Jan-01 01:25:00.0000,  1.567942663109667E+05, -3.057835823324519E+05, -1.657791517652503E+05,  9.269164374677921E-01,  4.056101190455234E-01,  2.188780843019650E-01,
2460676.562500000, A.D. 2025-Jan-01 01:30:00.0000,  1.570722900355118E+05, -3.056618006447025E+05, -1.657134346514246E+05,  9.265749526904303E-01,  4.062677655469235E-01,  2.192359896385266E-01,
2460676.565972222, A.D. 2025-Jan-01 01:35:00.0000,  1.573502112185016E+05, -3.055398216933911E+05, -1.656476101824190E+05,  9.262328271191654E-01,  4.069252093745551E-01,  2.195937854570535E-01,
2460676.569444444, A.D. 2025-Jan-01 01:40:00.0000,  1.576280296677161E+05, -3.054176455393946E+05, -1.655816783911293E+05,  9.258900608761724E-01,  4.075824500322349E-01,  2.199514714870124E-01,
2460676.572916667, A.D. 2025-Jan-01 01:45:00.0000,  1.579057451909724E+05, -3.052952722437384E+05, -1.655156393105327E+05,  9.255466540841846E-01,  4.082394870237840E-01,  2.203090474578720E-01,
2460676.576388889, A.D. 2025-Jan-01 01:50:00.0000,  1.581833575961241E+05, -3.051727018675966E+05, -1.654494929736875E+05,  9.252026068664950E-01,  4.088963198530282E-01,  2.206665130991034E-01,
2460676.579861111, A.D. 2025-Jan-01 01:55:00.0000,  1.584608666910621E+05, -3.050499344722924E+05, -1.653832394137332E+05,  9.248579193469549E-01,  4.095529480237990E-01,  2.210238681401802E-01,
2460676.583333333, A.D. 2025-Jan-01 02:00:00.0000,  1.587382722837145E+05, -3.049269701192979E+05, -1.653168786638905E+05,  9.245125916499760E-01,  4.102093710399337E-01,  2.213811123105786E-01,
2460676.586805556, A.D. 2025-Jan-01 02:05:00.0000,  1.590155741820468E+05, -3.048038088702335E+05, -1.652504107574610E+05,  9.241666239005283E-01,  4.108655884052764E-01,  2.217382453397783E-01,
2460676.590277778, A.D. 2025-Jan-01 02:10:00.0000,  1.592927721940621E+05, -3.046804507868693E+05, -1.651838357278278E+05,  9.238200162241418E-01,  4.115215996236782E-01,  2.220952669572621E-01,
2460676.593750000, A.D. 2025-Jan-01 02:15:00.0000,  1.595698661278012E+05, -3.045568959311237E+05, -1.651171536084549E+05,  9.234727687469059E-01,  4.121774041989982E-01,  2.224521768925169E-01,
2460676.597222222, A.D. 2025-Jan-01 02:20:00.0000,  1.598468557913429E+05, -3.044331443650638E+05, -1.650503644328876E+05,  9.231248815954703E-01,  4.128330016351032E-01,  2.228089748750335E-01,
2460676.600694444, A.D. 2025-Jan-01 02:25:00.0000,  1.601237409928038E+05, -3.043091961509062E+05, -1.649834682347522E+05,  9.227763548970445E-01,  4.134883914358694E-01,  2.231656606343069E-01,
2460676.604166667, A.D. 2025-Jan-01 02:30:00.0000,  1.604005215403392E+05, -3.041850513510155E+05, -1.649164650477563E+05,  9.224271887793971E-01,  4.141435731051821E-01,  2.235222338998372E-01,
2460676.607638889, A.D. 2025-Jan-01 02:35:00.0000,  1.606771972421423E+05, -3.040607100279058E+05, -1.648493549056887E+05,  9.220773833708582E-01,  4.147985461469367E-01,  2.238786944011290E-01,
2460676.611111111, A.D. 2025-Jan-01 02:40:00.0000,  1.609537679064455E+05, -3.039361722442397E+05, -1.647821378424191E+05,  9.217269388003174E-01,  4.154533100650389E-01,  2.242350418676926E-01,
2460676.614583333, A.D. 2025-Jan-01 02:45:00.0000,  1.612302333415193E+05, -3.038114380628287E+05, -1.647148138918986E+05,  9.213758551972246E-01,  4.161078643634059E-01,  2.245912760290437E-01,
2460676.618055556, A.D. 2025-Jan-01 02:50:00.0000,  1.615065933556735E+05, -3.036865075466332E+05, -1.646473830881593E+05,  9.210241326915909E-01,  4.167622085459659E-01,  2.249473966147039E-01,
2460676.621527778, A.D. 2025-Jan-01 02:55:00.0000,  1.617828477572570E+05, -3.035613807587624E+05, -1.645798454653144E+05,  9.206717714139870E-01,  4.174163421166600E-01,  2.253034033542010E-01,
2460676.625000000, A.D. 2025-Jan-01 03:00:00.0000,  1.620589963546578E+05, -3.034360577624741E+05, -1.645122010575584E+05,  9.203187714955455E-01,  4.180702645794415E-01,  2.256592959770693E-01,
2460676.628472222, A.D. 2025-Jan-01 03:05:00.0000,  1.623350389563035E+05, -3.033105386211751E+05, -1.644444498991669E+05,  9.199651330679591E-01,  4.187239754382776E-01,  2.260150742128501E-01,
2460676.631944444, A.D. 2025-Jan-01 03:10:00.0000,  1.626109753706609E+05, -3.031848233984211E+05, -1.643765920244964E+05,  9.196108562634818E-01,  4.193774741971487E-01,  2.263707377910916E-01,
2460676.635416667, A.D. 2025-Jan-01 03:15:00.0000,  1.628868054062371E+05, -3.030589121579164E+05, -1.643086274679850E+05,  9.192559412149286E-01,  4.200307603600503E-01,  2.267262864413497E-01,
2460676.638888889, A.D. 2025-Jan-01 03:20:00.0000,  1.631625288715788E+05, -3.029328049635142E+05, -1.642405562641515E+05,  9.189003880556759E-01,  4.206838334309925E-01,  2.270817198931876E-01,
2460676.642361111, A.D. 2025-Jan-01 03:25:00.0000,  1.634381455752729E+05, -3.028065018792166E+05, -1.641723784475960E+05,  9.185441969196612E-01,  4.213366929140013E-01,  2.274370378761770E-01,
2460676.645833333, A.D. 2025-Jan-01 03:30:00.0000,  1.637136553259464E+05, -3.026800029691742E+05, -1.641040940529997E+05,  9.181873679413836E-01,  4.219893383131186E-01,  2.277922401198978E-01,
2460676.649305556, A.D. 2025-Jan-01 03:35:00.0000,  1.639890579322670E+05, -3.025533082976867E+05, -1.640357031151250E+05,  9.178299012559041E-01,  4.226417691324029E-01,  2.281473263539385E-01,
2460676.652777778, A.D. 2025-Jan-01 03:40:00.0000,  1.642643532029428E+05, -3.024264179292024E+05, -1.639672056688154E+05,  9.174717969988445E-01,  4.232939848759306E-01,  2.285022963078965E-01,
2460676.656250000, A.D. 2025-Jan-01 03:45:00.0000,  1.645395409467228E+05, -3.022993319283183E+05, -1.638986017489953E+05,  9.171130553063894E-01,  4.239459850477953E-01,  2.288571497113789E-01,
2460676.659722222, A.D. 2025-Jan-01 03:50:00.0000,  1.648146209723967E+05, -3.021720503597804E+05, -1.638298913906706E+05,  9.167536763152843E-01,  4.245977691521093E-01,  2.292118862940019E-01,
2460676.663194444, A.D. 2025-Jan-01 03:55:00.0000,  1.650895930887958E+05, -3.020445732884834E+05, -1.637610746289280E+05,  9.163936601628382E-01,  4.252493366930037E-01,  2.295665057853918E-01,
2460676.666666667, A.D. 2025-Jan-01 04:00:00.0000,  1.653644571047921E+05, -3.019169007794705E+05, -1.636921514989355E+05,  9.160330069869203E-01,  4.259006871746293E-01,  2.299210079151850E-01,
2460676.670138889, A.D. 2025-Jan-01 04:05:00.0000,  1.656392128292994E+05, -3.017890328979341E+05, -1.636231220359421E+05,  9.156717169259638E-01,  4.265518201011571E-01,  2.302753924130287E-01,
2460676.673611111, A.D. 2025-Jan-01 04:10:00.0000,  1.659138600712731E+05, -3.016609697092149E+05, -1.635539862752779E+05,  9.153097901189631E-01,  4.272027349767786E-01,  2.306296590085806E-01,
2460676.677083333, A.D. 2025-Jan-01 04:15:00.0000,  1.661883986397102E+05, -3.015327112788027E+05, -1.634847442523543E+05,  9.149472267054753E-01,  4.278534313057066E-01,  2.309838074315097E-01,
2460676.680555556, A.D. 2025-Jan-01 04:20:00.0000,  1.664628283436497E+05, -3.014042576723358E+05, -1.634153960026633E+05,  9.145840268256210E-01,  4.285039085921755E-01,  2.313378374114965E-01,
2460676.684027778, A.D. 2025-Jan-01 04:25:00.0000,  1.667371489921729E+05, -3.012756089556012E+05, -1.633459415617787E+05,  9.142201906200816E-01,  4.291541663404424E-01,  2.316917486782329E-01,
2460676.687500000, A.D. 2025-Jan-01 04:30:00.0000,  1.670113603944033E+05, -3.011467651945348E+05, -1.632763809653547E+05,  9.138557182301028E-01,  4.298042040547875E-01,  2.320455409614234E-01,
2460676.690972222, A.D. 2025-Jan-01 04:35:00.0000,  1.672854623595068E+05, -3.010177264552213E+05, -1.632067142491272E+05,  9.134906097974930E-01,  4.304540212395139E-01,  2.323992139907843E-01,
2460676.694444444, A.D. 2025-Jan-01 04:40:00.0000,  1.675594546966918E+05, -3.008884928038937E+05, -1.631369414489127E+05,  9.131248654646226E-01,  4.311036173989491E-01,  2.327527674960450E-01,
2460676.697916667, A.D. 2025-Jan-01 04:45:00.0000,  1.678333372152098E+05, -3.007590643069340E+05, -1.630670626006090E+05,  9.127584853744261E-01,  4.317529920374452E-01,  2.331062012069477E-01,
2460676.701388889, A.D. 2025-Jan-01 04:50:00.0000,  1.681071097243550E+05, -3.006294410308729E+05, -1.629970777401950E+05,  9.123914696704003E-01,  4.324021446593798E-01,  2.334595148532479E-01,
2460676.704861111, A.D. 2025-Jan-01 04:55:00.0000,  1.683807720334650E+05, -3.004996230423896E+05, -1.629269869037305E+05,  9.120238184966063E-01,  4.330510747691558E-01,  2.338127081647148E-01,
2460676.708333333, A.D. 2025-Jan-01 05:00:00.0000,  1.686543239519205E+05, -3.003696104083122E+05, -1.628567901273567E+05,  9.116555319976678E-01,  4.336997818712028E-01,  2.341657808711313E-01,
2460676.711805556, A.D. 2025-Jan-01 05:05:00.0000,  1.689277652891456E+05, -3.002394031956173E+05, -1.627864874472954E+05,  9.112866103187719E-01,  4.343482654699772E-01,  2.345187327022950E-01,
2460676.715277778, A.D. 2025-Jan-01 05:10:00.0000,  1.692010958546083E+05, -3.001090014714301E+05, -1.627160788998498E+05,  9.109170536056700E-01,  4.349965250699628E-01,  2.348715633880173E-01,
2460676.718750000, A.D. 2025-Jan-01 05:15:00.0000,  1.694743154578203E+05, -2.999784053030247E+05, -1.626455645214041E+05,  9.105468620046758E-01,  4.356445601756718E-01,  2.352242726581251E-01,
2460676.722222222, A.D. 2025-Jan-01 05:20:00.0000,  1.697474239083370E+05, -2.998476147578236E+05, -1.625749443484235E+05,  9.101760356626687E-01,  4.362923702916444E-01,  2.355768602424601E-01,
2460676.725694444, A.D. 2025-Jan-01 05:25:00.0000,  1.700204210157585E+05, -2.997166299033982E+05, -1.625042184174542E+05,  9.098045747270900E-01,  4.369399549224507E-01,  2.359293258708794E-01,
2460676.729166667, A.D. 2025-Jan-01 05:30:00.0000,  1.702933065897287E+05, -2.995854508074682E+05, -1.624333867651236E+05,  9.094324793459462E-01,  4.375873135726901E-01,  2.362816692732565E-01,
2460676.732638889, A.D. 2025-Jan-01 05:35:00.0000,  1.705660804399364E+05, -2.994540775379022E+05, -1.623624494281399E+05,  9.090597496678072E-01,  4.382344457469924E-01,  2.366338901794801E-01,
2460676.736111111, A.D. 2025-Jan-01 05:40:00.0000,  1.708387423761146E+05, -2.993225101627172E+05, -1.622914064432925E+05,  9.086863858418069E-01,  4.388813509500186E-01,  2.369859883194559E-01,
2460676.739583333, A.D. 2025-Jan-01 05:45:00.0000,  1.711112922080416E+05, -2.991907487500788E+05, -1.622202578474519E+05,  9.083123880176444E-01,  4.395280286864605E-01,  2.373379634231061E-01,
2460676.743055556, A.D. 2025-Jan-01 05:50:00.0000,  1.713837297455404E+05, -2.990587933683015E+05, -1.621490036775693E+05,  9.079377563455818E-01,  4.401744784610431E-01,  2.376898152203700E-01,
2460676.746527778, A.D. 2025-Jan-01 05:55:00.0000,  1.716560547984793E+05, -2.989266440858479E+05, -1.620776439706773E+05,  9.075624909764466E-01,  4.408206997785225E-01,  2.380415434412040E-01,
2460676.750000000, A.D. 2025-Jan-01 06:00:00.0000,  1.719282671767717E+05, -2.987943009713296E+05, -1.620061787638892E+05,  9.071865920616298E-01,  4.414666921436896E-01,  2.383931478155825E-01,
2460676.753472222, A.D. 2025-Jan-01 06:05:00.0000,  1.722003666903769E+05, -2.986617640935064E+05, -1.619346080943996E+05,  9.068100597530876E-01,  4.421124550613676E-01,  2.387446280734976E-01,
2460676.756944444, A.D. 2025-Jan-01 06:10:00.0000,  1.724723531492995E+05, -2.985290335212871E+05, -1.618629319994838E+05,  9.064328942033409E-01,  4.427579880364151E-01,  2.390959839449597E-01,
2460676.760416667, A.D. 2025-Jan-01 06:15:00.0000,  1.727442263635901E+05, -2.983961093237284E+05, -1.617911505164983E+05,  9.060550955654750E-01,  4.434032905737251E-01,  2.394472151599978E-01,
2460676.763888889, A.D. 2025-Jan-01 06:20:00.0000,  1.730159861433453E+05, -2.982629915700361E+05, -1.617192636828804E+05,  9.056766639931405E-01,  4.440483621782260E-01,  2.397983214486598E-01,
2460676.767361111, A.D. 2025-Jan-01 06:25:00.0000,  1.732876322987079E+05, -2.981296803295643E+05, -1.616472715361487E+05,  9.052975996405519E-01,  4.446932023548826E-01,  2.401493025410128E-01,
2460676.770833333, A.D. 2025-Jan-01 06:30:00.0000,  1.735591646398671E+05, -2.979961756718155E+05, -1.615751741139024E+05,  9.049179026624896E-01,  4.453378106086961E-01,  2.405001581671434E-01,
2460676.774305556, A.D. 2025-Jan-01 06:35:00.0000,  1.738305829770584E+05, -2.978624776664408E+05, -1.615029714538220E+05,  9.045375732142986E-01,  4.459821864447050E-01,  2.408508880571580E-01,
2460676.777777778, A.D. 2025-Jan-01 06:40:00.0000,  1.741018871205642E+05, -2.977285863832399E+05, -1.614306635936688E+05,  9.041566114518893E-01,  4.466263293679852E-01,  2.412014919411830E-01,
2460676.781250000, A.D. 2025-Jan-01 06:45:00.0000,  1.743730768807138E+05, -2.975945018921608E+05, -1.613582505712849E+05,  9.037750175317368E-01,  4.472702388836516E-01,  2.415519695493657E-01,
2460676.784722222, A.D. 2025-Jan-01 06:50:00.0000,  1.746441520678832E+05, -2.974602242633000E+05, -1.612857324245937E+05,  9.033927916108822E-01,  4.479139144968575E-01,  2.419023206118735E-01,
2460676.788194444, A.D. 2025-Jan-01 06:55:00.0000,  1.749151124924960E+05, -2.973257535669024E+05, -1.612131091915993E+05,  9.030099338469311E-01,  4.485573557127956E-01,  2.422525448588954E-01,
2460676.791666667, A.D. 2025-Jan-01 07:00:00.0000,  1.751859579650229E+05, -2.971910898733615E+05, -1.611403809103869E+05,  9.026264443980556E-01,  4.492005620366990E-01,  2.426026420206417E-01,
2460676.795138889, A.D. 2025-Jan-01 07:05:00.0000,  1.754566882959822E+05, -2.970562332532190E+05, -1.610675476191224E+05,  9.022423234229923E-01,  4.498435329738414E-01,  2.429526118273440E-01,
2460676.798611111, A.D. 2025-Jan-01 07:10:00.0000,  1.757273032959400E+05, -2.969211837771653E+05, -1.609946093560529E+05,  9.018575710810437E-01,  4.504862680295376E-01,  2.433024540092564E-01,
2460676.802083333, A.D. 2025-Jan-01 07:15:00.0000,  1.759978027755101E+05, -2.967859415160390E+05, -1.609215661595064E+05,  9.014721875320783E-01,  4.511287667091440E-01,  2.436521682966550E-01,
2460676.805555556, A.D. 2025-Jan-01 07:20:00.0000,  1.762681865453545E+05, -2.966505065408269E+05, -1.608484180678914E+05,  9.010861729365296E-01,  4.517710285180597E-01,  2.440017544198388E-01,
2460676.809027778, A.D. 2025-Jan-01 07:25:00.0000,  1.765384544161835E+05, -2.965148789226646E+05, -1.607751651196978E+05,  9.006995274553982E-01,  4.524130529617264E-01,  2.443512121091295E-01,
2460676.812500000, A.D. 2025-Jan-01 07:30:00.0000,  1.768086061987554E+05, -2.963790587328358E+05, -1.607018073534963E+05,  9.003122512502488E-01,  4.530548395456295E-01,  2.447005410948721E-01,
2460676.815972222, A.D. 2025-Jan-01 07:35:00.0000,  1.770786417038775E+05, -2.962430460427727E+05, -1.606283448079382E+05,  8.999243444832136E-01,  4.536963877752987E-01,  2.450497411074353E-01,
2460676.819444444, A.D. 2025-Jan-01 07:40:00.0000,  1.773485607424054E+05, -2.961068409240555E+05, -1.605547775217561E+05,  8.995358073169898E-01,  4.543376971563076E-01,  2.453988118772115E-01,
2460676.822916667, A.D. 2025-Jan-01 07:45:00.0000,  1.776183631252440E+05, -2.959704434484132E+05, -1.604811055337631E+05,  8.991466399148410E-01,  4.549787671942758E-01,  2.457477531346175E-01,
2460676.826388889, A.D. 2025-Jan-01 07:50:00.0000,  1.778880486633471E+05, -2.958338536877227E+05, -1.604073288828535E+05,  8.987568424405973E-01,  4.556195973948682E-01,  2.460965646100944E-01,
2460676.829861111, A.D. 2025-Jan-01 07:55:00.0000,  1.781576171677176E+05, -2.956970717140094E+05, -1.603334476080022E+05,  8.983664150586541E-01,  4.562601872637965E-01,  2.464452460341084E-01,
2460676.833333333, A.D. 2025-Jan-01 08:00:00.0000,  1.784270684494080E+05, -2.955600975994470E+05, -1.602594617482651E+05,  8.979753579339742E-01,  4.569005363068189E-01,  2.467937971371505E-01,
2460676.836805556, A.D. 2025-Jan-01 08:05:00.0000,  1.786964023195203E+05, -2.954229314163573E+05, -1.601853713427790E+05,  8.975836712320856E-01,  4.575406440297415E-01,  2.471422176497374E-01,
2460676.840277778, A.D. 2025-Jan-01 08:10:00.0000,  1.789656185892061E+05, -2.952855732372106E+05, -1.601111764307613E+05,  8.971913551190837E-01,  4.581805099384181E-01,  2.474905073024115E-01,
2460676.843750000, A.D. 2025-Jan-01 08:15:00.0000,  1.792347170696673E+05, -2.951480231346251E+05, -1.600368770515104E+05,  8.967984097616293E-01,  4.588201335387517E-01,  2.478386658257412E-01,
2460676.847222222, A.D. 2025-Jan-01 08:20:00.0000,  1.795036975721554E+05, -2.950102811813676E+05, -1.599624732444057E+05,  8.964048353269509E-01,  4.594595143366942E-01,  2.481866929503214E-01,
