index,rho,phi,left,right,mean,flags,left_cell,right_cell
0,0.68453017575666308,1.5363878681730541,0,0,0,0,4294967295,4294967295
1,2.2052747220732272,3.4836752985907591,0,0,0,0,4294967295,4294967295
2,2.1765184509567916,0.55566760494042888,0.58656901121139526,0.74236875772476196,0.66446888446807861,7,71733,72138
3,2.0076213763095438,3.5309401950891295,0,0,0,0,4294967295,4294967295
4,2.4375861347652972,3.1335517763006928,0,0,0,0,4294967295,4294967295
5,3.4896427593193948,2.6010623477043437,0,0,0,0,4294967295,4294967295
6,2.1230192496441305,1.4899952336536106,0,0,0,0,4294967295,4294967295
7,2.1247748886235058,5.7287659780519986,0.73992675542831421,0.56361418962478638,0.65177047252655029,7,70096,69679
8,0.79779355460777879,3.2428996698679438,0,0,0,0,4294967295,4294967295
9,2.8922322303988039,5.2219607446997607,0.77509158849716187,0.85225886106491089,0.81367522478103638,7,96164,95835
10,2.7851257915608585,6.0620302413776859,0.97777777910232544,0.59242981672286987,0.78510379791259766,7,91631,91152
11,2.8928403831087053,1.4399990237507883,0,0,0,0,4294967295,4294967295
12,1.3100197012536228,0.81297900779318144,0.45128205418586731,0.52844935655593872,0.48986572027206421,7,43596,43955
13,3.0418296600691974,1.3520202335038929,0,0,0,0,4294967295,4294967295
14,3.1513066641055048,5.8397335925728422,0.017826618626713753,0.70451772212982178,0.36117216944694519,7,103898,103461
15,0.3251199028454721,5.6182072974106063,0.35775336623191833,0.21562881767749786,0.2866910994052887,7,11206,10809
16,3.3072119052521884,6.2516093578574115,0.66984128952026367,0.10964591056108475,0.38974359631538391,7,108032,108543
17,3.7731814119033515,1.7974679118448238,0,0,0,0,4294967295,4294967295
18,1.4386461186222732,2.6189688190207492,0,0,0,0,4294967295,4294967295
19,0.92739474726840854,1.9270998872626446,0,0,0,0,4294967295,4294967295
20,1.8680501827038825,5.4695770295633626,0,0.55531138181686401,0,2,62393,62022
21,1.5502588213421404,0.10485294244877996,0.33479854464530945,0.73382174968719482,0.53431016206741333,7,50700,51187
22,2.6792413326911628,4.8075499618215334,0,0,0,0,4294967295,4294967295
23,0.91334671759977937,5.7964897458530498,0.55409038066864014,0.25421246886253357,0.40415143966674805,7,30166,29737
24,2.3872464406304061,1.6072493743535037,0,0,0,0,4294967295,4294967295
25,1.2893124031834304,1.2362673920019949,0,0,0,0,4294967295,4294967295
26,1.4387462227605283,5.0962982599757316,0.46422466635704041,0.57899880409240723,0.52161175012588501,7,49049,48742
27,1.2902895999141037,0.36780399543845488,0.32185593247413635,0.6388278603553772,0.48034191131591797,7,42020,42459
28,1.1955686411820352,0.098048392589108344,0.26178267598152161,0.66080588102340698,0.46129429340362549,7,38924,39411
29,0.70804554736241698,6.1538532555690812,0.56923079490661621,0.15653236210346222,0.36288157105445862,7,23543,23048
30,1.5040848688222468,2.3302345092892249,0,0,0,0,4294967295,4294967295
31,0.72173710400238633,2.2545776439571044,0,0,0,0,4294967295,4294967295
32,0.94035685947164893,5.0502464561103961,0.35579976439476013,0.48424908518791199,0.42002442479133606,7,32661,32362
33,0.032824143301695585,1.3809708936779514,0,0,0,0,4294967295,4294967295
34,0.20705824205651879,2.2367027292465869,0,0,0,0,4294967295,4294967295
35,1.2759464518167078,5.1657146035136421,0.43956044316291809,0.53382176160812378,0.48669111728668213,7,43423,43104
36,2.5488971504382789,5.5971684463837272,0.81001222133636475,0.67130649089813232,0.74065935611724854,7,84421,84026
37,0.17092546494677663,2.9466593630015105,0,0,0,0,4294967295,4294967295
38,2.3144581248052418,3.6789926790522123,0,0,0,0,4294967295,4294967295
39,3.9806100013665855,5.562876647432657,0,0,0,0,4294967295,4294967295
40,1.6505410992540419,3.3211301050738653,0,0,0,0,4294967295,4294967295
