            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460680.996747685, A.D. 2025-Jan-05 11:55:19.0000, -1.003315521977502E+04,  8.844917642544942E+03,  2.427580546324826E+02, -5.373674849074405E+00, -1.433115170379886E+00,  4.872208459335440E+00,
2460680.996759259, A.D. 2025-Jan-05 11:55:20.0000, -1.003852804068060E+04,  8.843483787340807E+03,  2.476302325661970E+02, -5.372003876578836E+00, -1.434587697308095E+00,  4.872167581606660E+00,
2460680.996770833, A.D. 2025-Jan-05 11:55:21.0000, -1.004389919059146E+04,  8.842048460153597E+03,  2.525023691881181E+02, -5.370333198941613E+00, -1.436058937853493E+00,  4.872125921575864E+00,
2460680.996782408, A.D. 2025-Jan-05 11:55:22.0000, -1.004926866980445E+04,  8.840611662269665E+03,  2.573744637173709E+02, -5.368662816996152E+00, -1.437528892745026E+00,  4.872083480389507E+00,
2460680.996793982, A.D. 2025-Jan-05 11:55:23.0000, -1.005463647861726E+04,  8.839173394974616E+03,  2.622465153742305E+02, -5.366992731573725E+00, -1.438997562712399E+00,  4.872040259193112E+00,
2460680.996805556, A.D. 2025-Jan-05 11:55:24.0000, -1.006000261732841E+04,  8.837733659553351E+03,  2.671185233801225E+02, -5.365322943503451E+00, -1.440464948486075E+00,  4.871996259131282E+00,
2460680.996817130, A.D. 2025-Jan-05 11:55:25.0000, -1.006536708623729E+04,  8.836292457290047E+03,  2.719904869576200E+02, -5.363653453612310E+00, -1.441931050797266E+00,  4.871951481347686E+00,
2460680.996828704, A.D. 2025-Jan-05 11:55:26.0000, -1.007072988564411E+04,  8.834849789468151E+03,  2.768624053304443E+02, -5.361984262725135E+00, -1.443395870377934E+00,  4.871905926985059E+00,
2460680.996840278, A.D. 2025-Jan-05 11:55:27.0000, -1.007609101584992E+04,  8.833405657370393E+03,  2.817342777234632E+02, -5.360315371664622E+00, -1.444859407960781E+00,  4.871859597185205E+00,
2460680.996851852, A.D. 2025-Jan-05 11:55:28.0000, -1.008145047715662E+04,  8.831960062278771E+03,  2.866061033626897E+02, -5.358646781251332E+00, -1.446321664279250E+00,  4.871812493089001E+00,
2460680.996863426, A.D. 2025-Jan-05 11:55:29.0000, -1.008680826986694E+04,  8.830513005474557E+03,  2.914778814752819E+02, -5.356978492303696E+00, -1.447782640067517E+00,  4.871764615836383E+00,
2460680.996875000, A.D. 2025-Jan-05 11:55:30.0000, -1.009216439428443E+04,  8.829064488238306E+03,  2.963496112895411E+02, -5.355310505638005E+00, -1.449242336060486E+00,  4.871715966566351E+00,
2460680.996886574, A.D. 2025-Jan-05 11:55:31.0000, -1.009751885071348E+04,  8.827614511849830E+03,  3.012212920349114E+02, -5.353642822068434E+00, -1.450700752993791E+00,  4.871666546416971E+00,
