trajectory_id,step,before,drive,x,asa,na,hits,output,j,k,after
4,17,2718499228,4113928073,2684420488,536936712,0,0,0,181039222,0,2718499228
4,18,2718499228,4113928073,2684420488,536936712,0,0,0,181039222,0,2718499228
4,19,2718499228,4113928073,2684420488,536936712,0,0,0,181039222,0,2718499228
4,20,2718499228,4113928073,2684420488,536936712,0,0,0,181039222,0,2718499228
5,0,268963849,2308572058,1717955684,73400320,4194304,0,4194304,268963849,2312766362,268439553
5,1,268439553,2308572058,1717955684,73400320,4194304,0,4194304,268439553,2312766362,268439553
6,0,958465704,2977595820,0,0,0,0,0,0,2287699716,824180904
6,1,824180904,2977595820,0,0,0,0,0,0,2153414916,824180904
6,2,824180904,2977595820,0,0,0,0,0,0,2153414916,824180904
6,3,824180904,2977595820,0,0,0,0,0,0,2153414916,824180904
6,4,824180904,2977595820,0,0,0,0,0,0,2153414916,824180904
6,5,824180904,2977595820,0,0,0,0,0,0,2153414916,824180904
6,6,824180904,2977595820,0,0,0,0,0,0,2153414916,824180904
6,7,824180904,2977595820,0,0,0,0,0,0,2153414916,824180904
6,8,824180904,2977595820,0,0,0,0,0,0,2153414916,824180904
6,9,824180904,2977595820,0,0,0,0,0,0,2153414916,824180904
6,10,824180904,2977595820,0,0,0,0,0,0,2153414916,824180904
6,11,824180904,2977595820,0,0,0,0,0,0,2153414916,824180904
6,12,824180904,2977595820,0,0,0,0,0,0,2153414916,824180904
6,13,824180904,2977595820,0,0,0,0,0,0,2153414916,824180904
6,14,824180904,2977595820,0,0,0,0,0,0,2153414916,824180904
7,0,4863140,1405558286,1406090926,13238916,9044096,2,0,0,4863140,0
7,1,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,2,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,3,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,4,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,5,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,6,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,7,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,8,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,9,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,10,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,11,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,12,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,13,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,14,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,15,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,16,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,17,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,18,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,19,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,20,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,21,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,22,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,23,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,24,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,25,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,26,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
7,27,0,1405558286,1405558286,12714500,8519680,2,0,0,0,0
8,0,67379969,2383064546,1911902749,4456456,4456456,0,4456456,1911902749,4294967295,290455560
8,1,290455560,2383064546,1911902749,4456456,4456456,0,4456456,1911902749,4294967295,262657
8,2,262657,2383064546,1911902749,4456456,4456456,0,4456456,1911902749,4294967295,290455560
8,3,290455560,2383064546,1911902749,4456456,4456456,0,4456456,1911902749,4294967295,262657
8,4,262657,2383064546,1911902749,4456456,4456456,0,4456456,1911902749,4294967295,290455560
8,5,290455560,2383064546,1911902749,4456456,4456456,0,4456456,1911902749,4294967295,262657
8,6,262657,2383064546,1911902749,4456456,4456456,0,4456456,1911902749,4294967295,290455560
8,7,290455560,2383064546,1911902749,4456456,4456456,0,4456456,1911902749,4294967295,262657
8,8,262657,2383064546,1911902749,4456456,4456456,0,4456456,1911902749,4294967295,290455560
9,0,614469888,140077518,3540420145,1,1,1,0,614469888,256,614469632
9,1,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,2,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,3,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,4,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,5,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,6,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,7,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,8,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,9,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,10,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,11,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,12,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,13,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,14,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,15,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,16,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,17,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,18,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,19,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,20,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
9,21,614469632,140077518,3540420145,1,1,1,0,614469632,0,614469632
10,0,1956728386,1266028996,2148048953,16,0,0,0,1071079302,4294967295,131204
10,1,131204,1266028996,3028938299,75563536,75497984,0,75497984,1341395776,4219469311,1151337024
10,2,1151337024,1266028996,2953440315,65552,0,0,0,265687940,4294967295,131204
11,0,3112181888,1399697382,3112181888,2843746304,679485440,0,679485440,4226658278,0,3147866242
11,1,3147866242,1399697382,3147866242,2877300738,679485440,0,679485440,4226658278,0,3147866242
11,2,3147866242,1399697382,3147866242,2877300738,679485440,0,679485440,4226658278,0,3147866242
11,3,3147866242,1399697382,3147866242,2877300738,679485440,0,679485440,4226658278,0,3147866242
11,4,3147866242,1399697382,3147866242,2877300738,679485440,0,679485440,4226658278,0,3147866242
11,5,3147866242,1399697382,3147866242,2877300738,679485440,0,679485440,4226658278,0,3147866242
11,6,3147866242,1399697382,3147866242,2877300738,679485440,0,679485440,4226658278,0,3147866242
11,7,3147866242,1399697382,3147866242,2877300738,679485440,0,679485440,4226658278,0,3147866242
11,8,3147866242,1399697382,3147866242,2877300738,679485440,0,679485440,4226658278,0,3147866242
11,9,3147866242,1399697382,3147866242,2877300738,679485440,0,679485440,4226658278,0,3147866242
11,10,3147866242,1399697382,3147866242,2877300738,679485440,0,679485440,4226658278,0,3147866242
11,11,3147866242,1399697382,3147866242,2877300738,679485440,0,679485440,4226658278,0,3147866242
11,12,3147866242,1399697382,3147866242,2877300738,679485440,0,679485440,4226658278,0,3147866242
11,13,3147866242,1399697382,3147866242,2877300738,679485440,0,679485440,4226658278,0,3147866242
11,14,3147866242,1399697382,3147866242,2877300738,679485440,0,679485440,4226658278,0,3147866242
11,15,3147866242,1399697382,3147866242,2877300738,679485440,0,679485440,4226658278,0,3147866242
12,0,264,4242746326,264,0,0,0,0,4242746334,4242746070,1621297480
12,1,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,2,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,3,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,4,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,5,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,6,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,7,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,8,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,9,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
