invalid option value out-solstat (gps_single.conf:28)
processing : 2026/09/14 21:58:12 Q=5
processing : 2026/09/14 21:58:13 Q=5
processing : 2026/09/14 21:58:14 Q=5
processing : 2026/09/14 21:58:15 Q=5
processing : 2026/09/14 21:58:16 Q=5
processing : 2026/09/14 21:58:17 Q=5
processing : 2026/09/14 21:58:18 Q=5
processing : 2026/09/14 21:58:19 Q=5
processing : 2026/09/14 21:58:20 Q=5
processing : 2026/09/14 21:58:21 Q=5
processing : 2026/09/14 21:58:22 Q=5
processing : 2026/09/14 21:58:23 Q=5
processing : 2026/09/14 21:58:24 Q=5
processing : 2026/09/14 21:58:25 Q=5
processing : 2026/09/14 21:58:26 Q=5
processing : 2026/09/14 21:58:27 Q=5
processing : 2026/09/14 21:58:28 Q=5
processing : 2026/09/14 21:58:29 Q=5
processing : 2026/09/14 21:58:30 Q=5
processing : 2026/09/14 21:58:31 Q=5
processing : 2026/09/14 21:58:32 Q=5
processing : 2026/09/14 21:58:33 Q=5
processing : 2026/09/14 21:58:34 Q=5
processing : 2026/09/14 21:58:35 Q=5
processing : 2026/09/14 21:58:36 Q=5
processing : 2026/09/14 21:58:37 Q=5
processing : 2026/09/14 21:58:38 Q=5
processing : 2026/09/14 21:58:39 Q=5
processing : 2026/09/14 21:58:40 Q=5
                                        
