            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460676.565972222, A.D. 2025-Jan-01 01:35:00.0000, -1.052584680619113E+04, -1.065052982645054E+05,  8.914986512055609E+04,  5.102956279262579E-01, -7.030506224642287E-01,  1.856059395491511E-01,
2460676.569444444, A.D. 2025-Jan-01 01:40:00.0000, -1.037268846500632E+04, -1.067155068244701E+05,  8.920495505423655E+04,  5.107585478716937E-01, -6.983413479435677E-01,  1.816624846097581E-01,
2460676.572916667, A.D. 2025-Jan-01 01:45:00.0000, -1.021939253348030E+04, -1.069243040089722E+05,  8.925886392370462E+04,  5.112129089043927E-01, -6.936414321798805E-01,  1.777321540024432E-01,
2460676.576388889, A.D. 2025-Jan-01 01:50:00.0000, -1.006596156849251E+04, -1.071316926072542E+05,  8.931159564464363E+04,  5.116587828080147E-01, -6.889507528466070E-01,  1.738148039273227E-01,
2460676.579861111, A.D. 2025-Jan-01 01:55:00.0000, -9.912398105577991E+03, -1.073376753720321E+05,  8.936315408986155E+04,  5.120962401155885E-01, -6.842691887792960E-01,  1.699102923461367E-01,
2460676.583333333, A.D. 2025-Jan-01 02:00:00.0000, -9.758704659222916E+03, -1.075422550199419E+05,  8.941354308983896E+04,  5.125253501317530E-01, -6.795966199527824E-01,  1.660184789492550E-01,
2460676.586805556, A.D. 2025-Jan-01 02:05:00.0000, -9.604883723467132E+03, -1.077454342315646E+05,  8.946276643316657E+04,  5.129461809536386E-01, -6.749329274679922E-01,  1.621392251311148E-01,
2460676.590277778, A.D. 2025-Jan-01 02:10:00.0000, -9.450937771985591E+03, -1.079472156521280E+05,  8.951082786714144E+04,  5.133587994926244E-01, -6.702779935239062E-01,  1.582723939534394E-01,
2460676.593750000, A.D. 2025-Jan-01 02:15:00.0000, -9.296869258547234E+03, -1.081476018916932E+05,  8.955773109822872E+04,  5.137632714945787E-01, -6.656317014013273E-01,  1.544178501188237E-01,
2460676.597222222, A.D. 2025-Jan-01 02:20:00.0000, -9.142680617399459E+03, -1.083465955254256E+05,  8.960347979253709E+04,  5.141596615598069E-01, -6.609939354447546E-01,  1.505754599429126E-01,
