"Metric name","Metric type","Metric unit","Metric description","NVIDIA GeForce RTX 5070 Ti Laptop GPU"
"dram__bytes_read.sum.peak_sustained_elapsed","Counter","byte","# of bytes read from DRAM (This counter metric represents the sum peak sustained rate achieved during elapsed cycles across all sub-unit instances)","1"
"dram__bytes_read.sum.peak_sustained_elapsed.per_second","Counter","byte/s","# of bytes read from DRAM (This counter metric represents the sum peak sustained rate achieved during elapsed cycles per second across all sub-unit instances)","1"
"dram__bytes_read.sum.per_cycle_active","Counter","byte/cycle","# of bytes read from DRAM (This counter metric represents the sum of the number of operations per unit active cycle across all sub-unit instances)","1"
"dram__bytes_read.sum.per_cycle_elapsed","Counter","byte/cycle","# of bytes read from DRAM (This counter metric represents the sum of the number of operations per elapsed cycle across all sub-unit instances)","1"
"dram__bytes_read.sum.per_second","Counter","byte/s","# of bytes read from DRAM (This counter metric represents the sum of the number of operations per second across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.avg","Counter","sector","# of sectors requested for global loads (This counter metric represents the avg across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.avg.pct_of_peak_sustained_active","Counter","%","# of sectors requested for global loads (This counter metric represents the avg percent of the peak sustained rate achieved during unit active cycles across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.avg.pct_of_peak_sustained_elapsed","Counter","%","# of sectors requested for global loads (This counter metric represents the avg percent of the peak sustained rate achieved during elapsed cycles across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.avg.peak_sustained","Counter","sector/cycle","# of sectors requested for global loads (This counter metric represents the avg peak sustained rate across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.avg.peak_sustained_active","Counter","sector","# of sectors requested for global loads (This counter metric represents the avg peak sustained rate achieved during unit active cycles across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.avg.peak_sustained_active.per_second","Counter","sector/s","# of sectors requested for global loads (This counter metric represents the avg peak sustained rate achieved during unit active cycles per second across all sub-unit instances)","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld.avg.peak_sustained_elapsed","Counter","sector","# of sectors requested for global loads (This counter metric represents the avg peak sustained rate achieved during elapsed cycles across all sub-unit instances)","1"
