object,lower_open_hours,upper_closed_hours,count,rms_m,max_m,median_m,p95_m
G05,0.0,0.25,3,20.704394315198165,21.742452669430822,20.67374529290547,21.635581931778287
G05,0.25,1.0,9,27.946418596725533,32.98045648195486,27.639152166124614,32.42688448937412
G05,1.0,6.0,60,83.39047036857535,114.99216052104093,82.4500649272036,113.08171617928001
G05,6.0,12.0,72,125.63143327550746,143.89974043706587,122.98302039447942,139.87866170584044
G05,12.0,24.0,144,228.9579382401801,285.3302893234722,245.5447524417599,269.6498829930687
G05,24.0,48.0,288,603.1097729005542,819.2505592584783,548.5582790384233,777.0091691071673
G05,48.0,72.0,288,1288.6355524770483,1614.4130473119915,1213.4516039057737,1556.3779369650597
G05,72.0,168.0,1152,4612.781961645921,7402.959661484532,3991.3862626701816,7217.209488731935
C03,0.0,0.25,3,0.4804456019620977,0.5076106824387339,0.4784193293245399,0.5046915471273145
C03,0.25,1.0,9,0.7084135600077026,0.8785695728763521,0.6933267413409,0.8591912827438507
C03,1.0,6.0,60,3.4293056932008583,5.900783892315065,2.9335358693884483,5.561625839260067
C03,6.0,12.0,72,11.27326447779879,16.018691284048927,10.774517499897337,15.528867156579027
C03,12.0,24.0,144,19.416172290829547,20.599831398227774,19.61325904815407,20.586045577131262
C03,24.0,48.0,288,46.75924750629582,59.856526598876606,50.705028025224586,59.765721360308554
C03,48.0,72.0,288,95.71408851322774,116.32412929306494,102.46574097492648,116.19027862659601
C03,72.0,168.0,1152,334.80997023366916,532.5819298168335,283.7295192634831,529.2899507364942
C06,0.0,0.25,3,1.2325936157113693,1.260443134175529,1.2317647066785695,1.257575291425833
C06,0.25,1.0,9,1.4130213779505472,1.5380839486595008,1.4087804035941323,1.5247726002630457
C06,1.0,6.0,60,3.0785305442972426,4.8766839052359625,2.7966005045989757,4.585134849090667
C06,6.0,12.0,72,12.922055769974738,21.680919751124822,11.129442906210318,20.51363184438098
C06,12.0,24.0,144,38.54154204462429,44.684370187353956,40.644954386160336,44.54334621516812
C06,24.0,48.0,288,94.45681100377557,133.74548047758947,86.27319231245744,133.6365846056839
C06,48.0,72.0,288,204.5216686691797,267.21116642857066,194.72025793496135,267.11700373717787
C06,72.0,168.0,1152,748.338219008854,1237.241656286258,663.2998771844109,1223.1472882364703
CHANDRA,0.0,0.25,3,0.0015656672024991281,0.002047615135334206,0.0014112167539269257,0.001983975297193478
CHANDRA,0.25,1.0,9,0.0057974765842956286,0.008470509549273716,0.005506063595189933,0.008120921406493509
CHANDRA,1.0,6.0,60,0.044526566166668356,0.07694858368688462,0.038196197683067146,0.07244532287910957
CHANDRA,6.0,12.0,72,0.16387481555866998,0.2587261822754274,0.1478105188296337,0.24580858797974922
CHANDRA,12.0,24.0,144,32.35337974699529,76.50633887318128,0.8435810599577971,72.07878376348768
CHANDRA,24.0,48.0,288,141.1192831345689,236.59991535911576,120.75662017750182,219.7898236502355
CHANDRA,48.0,72.0,288,564.1402510441712,987.1289017903346,483.214807471791,912.6211984868326
CHANDRA,72.0,168.0,1152,5363.976823479215,19399.30731946993,3206.3305316613596,11190.677260420438
