invalid option value out-solstat (gps_single.conf:28)
processing : 2026/09/14 21:43:54 Q=5
processing : 2026/09/14 21:43:55 Q=5
processing : 2026/09/14 21:43:56 Q=5
processing : 2026/09/14 21:43:57 Q=5
processing : 2026/09/14 21:43:58 Q=5
processing : 2026/09/14 21:43:59 Q=5
processing : 2026/09/14 21:44:00 Q=5
processing : 2026/09/14 21:44:01 Q=5
processing : 2026/09/14 21:44:02 Q=5
processing : 2026/09/14 21:44:03 Q=5
processing : 2026/09/14 21:44:04 Q=5
processing : 2026/09/14 21:44:05 Q=5
processing : 2026/09/14 21:44:06 Q=5
processing : 2026/09/14 21:44:07 Q=5
processing : 2026/09/14 21:44:08 Q=5
processing : 2026/09/14 21:44:09 Q=5
processing : 2026/09/14 21:44:10 Q=5
processing : 2026/09/14 21:44:11 Q=5
processing : 2026/09/14 21:44:12 Q=5
processing : 2026/09/14 21:44:13 Q=5
processing : 2026/09/14 21:44:14 Q=5
processing : 2026/09/14 21:44:15 Q=5
processing : 2026/09/14 21:44:16 Q=5
processing : 2026/09/14 21:44:17 Q=5
processing : 2026/09/14 21:44:18 Q=5
processing : 2026/09/14 21:44:19 Q=5
processing : 2026/09/14 21:44:20 Q=5
processing : 2026/09/14 21:44:21 Q=5
processing : 2026/09/14 21:44:22 Q=5
processing : 2026/09/14 21:44:23 Q=5
processing : 2026/09/14 21:44:24 Q=5
processing : 2026/09/14 21:44:25 Q=5
processing : 2026/09/14 21:44:26 Q=5
processing : 2026/09/14 21:44:27 Q=5
processing : 2026/09/14 21:44:28 Q=5
processing : 2026/09/14 21:44:29 Q=5
processing : 2026/09/14 21:44:30 Q=5
processing : 2026/09/14 21:44:31 Q=5
processing : 2026/09/14 21:44:32 Q=5
processing : 2026/09/14 21:44:33 Q=5
processing : 2026/09/14 21:44:34 Q=5
processing : 2026/09/14 21:44:35 Q=5
processing : 2026/09/14 21:44:36 Q=5
processing : 2026/09/14 21:44:37 Q=5
processing : 2026/09/14 21:44:38 Q=5
processing : 2026/09/14 21:44:39 Q=5
processing : 2026/09/14 21:44:40 Q=5
processing : 2026/09/14 21:44:41 Q=5
processing : 2026/09/14 21:44:42 Q=5
processing : 2026/09/14 21:44:43 Q=5
processing : 2026/09/14 21:44:44 Q=5
processing : 2026/09/14 21:44:45 Q=5
processing : 2026/09/14 21:44:46 Q=5
processing : 2026/09/14 21:44:47 Q=5
processing : 2026/09/14 21:44:48 Q=5
processing : 2026/09/14 21:44:49 Q=5
processing : 2026/09/14 21:44:50 Q=5
processing : 2026/09/14 21:44:51 Q=5
processing : 2026/09/14 21:44:52 Q=5
processing : 2026/09/14 21:44:53 Q=5
processing : 2026/09/14 21:44:54 Q=5
processing : 2026/09/14 21:44:55 Q=5
processing : 2026/09/14 21:44:56 Q=5
processing : 2026/09/14 21:44:57 Q=5
processing : 2026/09/14 21:44:58 Q=5
processing : 2026/09/14 21:44:59 Q=5
processing : 2026/09/14 21:45:00 Q=5
processing : 2026/09/14 21:45:01 Q=5
processing : 2026/09/14 21:45:02 Q=5
processing : 2026/09/14 21:45:03 Q=5
processing : 2026/09/14 21:45:04 Q=5
processing : 2026/09/14 21:45:05 Q=5
processing : 2026/09/14 21:45:06 Q=5
processing : 2026/09/14 21:45:07 Q=5
processing : 2026/09/14 21:45:08 Q=5
processing : 2026/09/14 21:45:09 Q=5
processing : 2026/09/14 21:45:10 Q=5
processing : 2026/09/14 21:45:11 Q=5
