epoch_id,channel,residual_m
0,0,-3.7252902984619141e-09
0,1,-3.7252902984619141e-09
0,2,-3.7252902984619141e-09
0,3,-3.7252902984619141e-09
0,4,-3.7252902984619141e-09
0,5,-3.7252902984619141e-09
0,6,-7.4505805969238281e-09
0,7,0
0,8,-3.7252902984619141e-09
0,9,-7.4505805969238281e-09
0,10,-3.7252902984619141e-09
0,11,-3.7252902984619141e-09
1,0,-3.7252902984619141e-09
1,1,-7.4505805969238281e-09
1,2,-3.7252902984619141e-09
1,3,-3.7252902984619141e-09
1,4,0
1,5,0
1,6,0
1,7,-3.7252902984619141e-09
1,8,-3.7252902984619141e-09
1,9,0
1,10,-7.4505805969238281e-09
1,11,-3.7252902984619141e-09
2,0,0
2,1,0
2,2,0
2,3,0
2,4,3.7252902984619141e-09
2,5,3.7252902984619141e-09
2,6,3.7252902984619141e-09
2,7,3.7252902984619141e-09
2,8,0
2,9,0
2,10,0
2,11,0
3,0,-3.7252902984619141e-09
3,1,-3.7252902984619141e-09
3,2,-7.4505805969238281e-09
3,3,-3.7252902984619141e-09
3,4,-3.7252902984619141e-09
3,5,-3.7252902984619141e-09
3,6,0
3,7,0
3,8,-3.7252902984619141e-09
3,9,-3.7252902984619141e-09
3,10,-3.7252902984619141e-09
3,11,-3.7252902984619141e-09
4,0,0
4,1,0
4,2,-3.7252902984619141e-09
4,3,0
4,4,0
4,5,0
4,6,3.7252902984619141e-09
4,7,3.7252902984619141e-09
4,8,3.7252902984619141e-09
4,9,-3.7252902984619141e-09
4,10,0
4,11,0
5,0,-3.7252902984619141e-09
5,1,-3.7252902984619141e-09
5,2,-3.7252902984619141e-09
5,3,0
5,4,0
5,5,3.7252902984619141e-09
5,6,-3.7252902984619141e-09
5,7,0
5,8,-3.7252902984619141e-09
5,9,-3.7252902984619141e-09
5,10,-3.7252902984619141e-09
5,11,-3.7252902984619141e-09
6,0,3.7252902984619141e-09
6,1,3.7252902984619141e-09
6,2,0
6,3,3.7252902984619141e-09
6,4,3.7252902984619141e-09
6,5,0
6,6,3.7252902984619141e-09
6,7,0
6,8,7.4505805969238281e-09
6,9,0
6,10,3.7252902984619141e-09
6,11,3.7252902984619141e-09
7,0,3.7252902984619141e-09
7,1,0
7,2,3.7252902984619141e-09
7,3,0
7,4,3.7252902984619141e-09
7,5,0
7,6,-3.7252902984619141e-09
7,7,-3.7252902984619141e-09
7,8,-3.7252902984619141e-09
7,9,-3.7252902984619141e-09
7,10,3.7252902984619141e-09
7,11,3.7252902984619141e-09
8,0,0
8,1,3.7252902984619141e-09
8,2,3.7252902984619141e-09
8,3,0
8,4,0
8,5,0
8,6,3.7252902984619141e-09
8,7,0
8,8,-3.7252902984619141e-09
8,9,0
8,10,0
8,11,7.4505805969238281e-09
9,0,0
9,1,3.7252902984619141e-09
9,2,3.7252902984619141e-09
9,3,3.7252902984619141e-09
9,4,0
9,5,7.4505805969238281e-09
9,6,3.7252902984619141e-09
9,7,3.7252902984619141e-09
9,8,3.7252902984619141e-09
9,9,3.7252902984619141e-09
9,10,3.7252902984619141e-09
9,11,0
10,0,3.7252902984619141e-09
10,1,3.7252902984619141e-09
10,2,0
10,3,0
10,4,0
10,5,0
10,6,3.7252902984619141e-09
10,7,0
10,8,3.7252902984619141e-09
10,9,3.7252902984619141e-09
10,10,3.7252902984619141e-09
10,11,3.7252902984619141e-09
11,0,-3.7252902984619141e-09
11,1,-3.7252902984619141e-09
11,2,0
11,3,3.7252902984619141e-09
11,4,0
11,5,0
11,6,3.7252902984619141e-09
11,7,3.7252902984619141e-09
11,8,3.7252902984619141e-09
11,9,7.4505805969238281e-09
11,10,0
11,11,0
12,0,-3.7252902984619141e-09
12,1,-3.7252902984619141e-09
12,2,0
12,3,-3.7252902984619141e-09
12,4,0
12,5,0
12,6,-3.7252902984619141e-09
12,7,-3.7252902984619141e-09
12,8,3.7252902984619141e-09
12,9,-3.7252902984619141e-09
12,10,-3.7252902984619141e-09
12,11,0
13,0,0
13,1,-7.4505805969238281e-09
13,2,-3.7252902984619141e-09
13,3,0
13,4,0
13,5,0
13,6,-3.7252902984619141e-09
13,7,-3.7252902984619141e-09
13,8,0
13,9,0
13,10,-3.7252902984619141e-09
13,11,-3.7252902984619141e-09
14,0,0
14,1,0
14,2,0
14,3,0
14,4,0
14,5,-3.7252902984619141e-09
14,6,-3.7252902984619141e-09
14,7,-3.7252902984619141e-09
14,8,0
14,9,-3.7252902984619141e-09
14,10,0
14,11,-3.7252902984619141e-09
15,0,0
15,1,-3.7252902984619141e-09
15,2,0
15,3,0
15,4,3.7252902984619141e-09
15,5,-3.7252902984619141e-09
15,6,3.7252902984619141e-09
15,7,7.4505805969238281e-09
15,8,0
15,9,-3.7252902984619141e-09
15,10,0
15,11,3.7252902984619141e-09
16,0,0
16,1,7.4505805969238281e-09
16,2,7.4505805969238281e-09
16,3,0
16,4,-3.7252902984619141e-09
16,5,3.7252902984619141e-09
16,6,0
16,7,0
16,8,0
16,9,3.7252902984619141e-09
16,10,0
16,11,7.4505805969238281e-09
17,0,0
17,1,-3.7252902984619141e-09
17,2,0
17,3,3.7252902984619141e-09
17,4,0
17,5,0
17,6,3.7252902984619141e-09
17,7,0
17,8,-3.7252902984619141e-09
17,9,-3.7252902984619141e-09
17,10,0
17,11,0
18,0,3.7252902984619141e-09
18,1,7.4505805969238281e-09
18,2,3.7252902984619141e-09
18,3,3.7252902984619141e-09
18,4,0
18,5,3.7252902984619141e-09
18,6,7.4505805969238281e-09
18,7,7.4505805969238281e-09
18,8,0
18,9,3.7252902984619141e-09
18,10,3.7252902984619141e-09
18,11,7.4505805969238281e-09
19,0,-3.7252902984619141e-09
19,1,-3.7252902984619141e-09
19,2,0
19,3,0
19,4,0
19,5,0
19,6,0
19,7,3.7252902984619141e-09
19,8,-3.7252902984619141e-09
19,9,-3.7252902984619141e-09
19,10,-3.7252902984619141e-09
19,11,-3.7252902984619141e-09
20,0,-3.7252902984619141e-09
20,1,-3.7252902984619141e-09
20,2,-3.7252902984619141e-09
20,3,-3.7252902984619141e-09
20,4,0
20,5,-7.4505805969238281e-09
20,6,-3.7252902984619141e-09
20,7,-3.7252902984619141e-09
20,8,-7.4505805969238281e-09
20,9,-3.7252902984619141e-09
20,10,-3.7252902984619141e-09
20,11,-3.7252902984619141e-09
21,0,3.7252902984619141e-09
21,1,7.4505805969238281e-09
21,2,3.7252902984619141e-09
21,3,3.7252902984619141e-09
21,4,3.7252902984619141e-09
21,5,0
21,6,0
21,7,3.7252902984619141e-09
21,8,-3.7252902984619141e-09
21,9,0
21,10,0
21,11,3.7252902984619141e-09
22,0,0
22,1,-3.7252902984619141e-09
22,2,0
22,3,0
22,4,0
22,5,-3.7252902984619141e-09
22,6,3.7252902984619141e-09
22,7,3.7252902984619141e-09
22,8,7.4505805969238281e-09
22,9,0
22,10,0
22,11,0
23,0,0
23,1,3.7252902984619141e-09
23,2,-3.7252902984619141e-09
23,3,0
23,4,0
23,5,0
23,6,0
23,7,0
23,8,-3.7252902984619141e-09
23,9,0
23,10,0
23,11,0
24,0,0
24,1,3.7252902984619141e-09
24,2,0
24,3,3.7252902984619141e-09
24,4,0
24,5,3.7252902984619141e-09
24,6,0
24,7,7.4505805969238281e-09
24,8,7.4505805969238281e-09
24,9,3.7252902984619141e-09
24,10,3.7252902984619141e-09
24,11,3.7252902984619141e-09
