invalid option value out-solstat (gps_single.conf:28)
processing : 2026/09/14 21:53:43 Q=5
processing : 2026/09/14 21:53:44 Q=5
processing : 2026/09/14 21:53:45 Q=5
processing : 2026/09/14 21:53:46 Q=5
processing : 2026/09/14 21:53:47 Q=5
processing : 2026/09/14 21:53:48 Q=5
processing : 2026/09/14 21:53:49 Q=5
processing : 2026/09/14 21:53:50 Q=5
processing : 2026/09/14 21:53:51 Q=5
processing : 2026/09/14 21:53:52 Q=5
processing : 2026/09/14 21:53:53 Q=5
processing : 2026/09/14 21:53:54 Q=5
processing : 2026/09/14 21:53:55 Q=5
processing : 2026/09/14 21:53:56 Q=5
processing : 2026/09/14 21:53:57 Q=5
processing : 2026/09/14 21:53:58 Q=5
processing : 2026/09/14 21:53:59 Q=5
processing : 2026/09/14 21:54:00 Q=5
processing : 2026/09/14 21:54:01 Q=5
processing : 2026/09/14 21:54:02 Q=5
processing : 2026/09/14 21:54:03 Q=5
processing : 2026/09/14 21:54:04 Q=5
processing : 2026/09/14 21:54:05 Q=5
processing : 2026/09/14 21:54:06 Q=5
processing : 2026/09/14 21:54:07 Q=5
processing : 2026/09/14 21:54:08 Q=5
processing : 2026/09/14 21:54:09 Q=5
processing : 2026/09/14 21:54:10 Q=5
processing : 2026/09/14 21:54:11 Q=5
                                        
