invalid option value out-solstat (gps_single.conf:28)
processing : 2026/09/14 22:01:45 Q=5
processing : 2026/09/14 22:01:46 Q=5
processing : 2026/09/14 22:01:47 Q=5
processing : 2026/09/14 22:01:48 Q=5
processing : 2026/09/14 22:01:49 Q=5
processing : 2026/09/14 22:01:50 Q=5
processing : 2026/09/14 22:01:51 Q=5
processing : 2026/09/14 22:01:52 Q=5
processing : 2026/09/14 22:01:53 Q=5
processing : 2026/09/14 22:01:54 Q=5
processing : 2026/09/14 22:01:55 Q=5
processing : 2026/09/14 22:01:56 Q=5
processing : 2026/09/14 22:01:57 Q=5
processing : 2026/09/14 22:01:58 Q=5
processing : 2026/09/14 22:01:59 Q=5
processing : 2026/09/14 22:02:00 Q=5
processing : 2026/09/14 22:02:01 Q=5
processing : 2026/09/14 22:02:02 Q=5
processing : 2026/09/14 22:02:03 Q=5
processing : 2026/09/14 22:02:04 Q=5
processing : 2026/09/14 22:02:05 Q=5
processing : 2026/09/14 22:02:06 Q=5
processing : 2026/09/14 22:02:07 Q=5
processing : 2026/09/14 22:02:08 Q=5
processing : 2026/09/14 22:02:09 Q=5
processing : 2026/09/14 22:02:10 Q=5
processing : 2026/09/14 22:02:11 Q=5
processing : 2026/09/14 22:02:12 Q=5
processing : 2026/09/14 22:02:13 Q=5
                                        
