trajectory_id,epoch_id,time,valid,target_e,target_n,target_u,observed_x,observed_y,observed_z,clock_bias_m,force_e,force_n,force_u
0,0,1400000000.0,1,249.9999999983024,-120.00000000078921,-6.546319042399773e-10,3920120.4984929073,343217.0582331075,5002808.267180956,75000.00000000217,0.0,0.0,0.0
0,1,1400000001.0,1,251.50000000066416,-119.20000000208849,0.39933366357533373,3920119.984668389,343218.5190090458,5002809.074389357,75000.01999999883,0.0,0.0,0.0
0,2,1400000002.0,1,253.00000000118172,-118.40000000097677,0.794677324993387,3920119.4683967256,343219.9795708848,5002809.878453595,75000.04000000084,0.0,0.0,0.0
0,3,1400000003.0,1,254.50000000040922,-117.6000000018993,1.1820808268239293,3920118.9472552156,343221.4397066661,5002810.6762609,75000.06000000064,0.0,0.0,0.0
0,4,1400000004.0,1,256.0000000002101,-116.80000000073714,1.557673370219696,3920118.4188698223,343222.89920869033,5002811.464761044,75000.07999999664,0.0,0.0,0.0
0,5,1400000005.0,1,257.50000000051074,-116.0000000020757,1.9177021511117331,3920117.8809388843,343224.3578755881,5002812.240996774,75000.10000000111,0.0,0.0,0.0
0,6,1400000006.0,1,259.0000000004359,-115.20000000255044,2.2585698938767536,3920117.331256123,343225.8155143342,5002813.002133401,75000.119999999,0.0,0.0,0.0
0,7,1400000007.0,1,260.5000000019845,-114.39999999988518,2.576870750466272,3920116.7677326654,343227.2719421779,5002813.745487081,75000.13999999929,0.0,0.0,0.0
0,8,1400000008.0,1,262.0000000004777,-113.59999999806647,2.869424370534947,3920116.1884179474,343228.72698846227,5002814.468551661,75000.1600000028,0.0,0.0,0.0
0,9,1400000009.0,1,263.5000000003361,-112.79999999993493,3.1333076429183926,3920115.591519172,343230.1804963423,5002815.169023696,75000.1800000013,0.0,0.0,0.0
0,10,1400000010.0,1,264.99999999701106,-111.99999999901328,3.3658839368693005,3920114.975419239,343231.6323243356,5002815.844825498,75000.19999999726,0.0,0.0,0.0
0,11,1400000011.0,1,266.49999999673736,-111.20000000086462,3.564829442430442,3920114.338692917,343233.08234775666,5002816.494125875,75000.2199999989,0.0,0.0,0.0
0,12,1400000012.0,1,268.00000000258564,-110.40000000101841,3.7281563378404456,3920113.6801210335,343234.5304599449,5002817.115358405,75000.23999999616,0.0,0.0,0.0
0,13,1400000013.0,1,269.4999999985445,-109.60000000305035,3.8542327452727,3920112.9987027314,343235.97657332063,5002817.707237149,75000.26000000483,0.0,0.0,0.0
0,14,1400000014.0,1,271.00000000060777,-108.79999999955496,3.9417989169790975,3920112.293665377,343237.42062030314,5002818.268769416,75000.28000000125,0.0,0.0,0.0
0,15,1400000015.0,1,272.4999999995669,-108.00000000232092,3.9899799461899086,3920111.5644723834,343238.86255393794,5002818.799265764,75000.30000000028,0.0,0.0,0.0
0,16,1400000016.0,1,273.9999999998866,-107.20000000077943,3.9982944189962044,3920110.810828482,343240.30234839686,5002819.298346839,75000.320000004,0.0,0.0,0.0
0,17,1400000017.0,1,275.4999999980571,-106.40000000110913,3.9666592409115164,3920110.032682714,343241.7399992181,5002819.765947158,75000.33999999984,0.0,0.0,0.0
0,18,1400000018.0,1,277.00000000211884,-105.60000000108643,3.895390523713383,3920109.230228955,343243.17552337155,5002820.202315823,75000.35999999744,0.0,0.0,0.0
0,19,1400000019.0,1,278.50000000244944,-104.80000000290343,3.785200354783175,3920108.4039039435,343244.6089590573,5002820.608013964,75000.38000000262,0.0,0.0,0.0
0,20,1400000020.0,1,280.0000000034623,-104.00000000031919,3.6371897076943167,3920107.554382922,343246.04036535585,5002820.983909165,75000.4000000014,0.0,0.0,0.0
0,21,1400000021.0,1,281.50000000225526,-103.19999999832639,3.4528374709576646,3920106.682572925,343247.46982161945,5002821.331166801,75000.4200000035,0.0,0.0,0.0
