generation,candidates,active,kernel_ms
1,2,2,
2,4,4,
3,8,4,
4,8,6,
5,12,9,
6,18,16,
7,32,27,
8,54,50,
9,100,68,
10,136,64,
11,128,85,
12,170,115,
