generation,branch,rho,phi,alive,cell,status,orientation
8,425,-0.26253587,1.08745122,1,31921,0,0
8,428,-0.260164499,1.07720613,1,31919,0,0
8,429,-0.259011865,0.937388241,1,31896,0,0
8,430,-0.257917821,0.93201226,1,31895,0,0
8,431,-0.301543474,0.824901521,0,4294967295,1,0
8,468,-0.257742554,1.06408572,1,31917,0,0
8,469,-0.256601602,0.92422837,1,31894,0,0
8,470,-0.255515128,0.918791354,1,31893,0,0
8,471,-0.254495174,0.778432548,1,31870,0,0
8,472,-0.256638467,1.05804658,1,31916,0,0
8,473,-0.255502284,0.918165684,1,31893,0,0
8,476,-0.253385633,0.906651974,1,31891,0,0
8,477,-0.252380759,0.766277492,1,31868,0,0
8,478,-0.251450866,0.760455012,1,31867,0,0
8,479,-0.250584096,0.619676232,1,31844,0,0
8,480,-0.260192841,1.20697987,1,31940,0,0
8,481,-0.301462531,1.09088123,0,4294967295,1,0
8,482,-0.25775364,1.06281543,1,31917,0,0
8,483,-0.256624818,0.922994912,1,31894,0,0
8,496,-0.254431307,1.04447842,1,31914,0,0
8,497,-0.253308117,0.904554248,1,31891,0,0
8,498,-0.252248943,0.899105012,1,31890,0,0
8,499,-0.296118081,0.79315877,0,4294967295,1,0
8,500,-0.251234472,0.893052101,1,31889,0,0
8,501,-0.250241667,0.752640903,1,31866,0,0
8,502,-0.249309003,0.746682525,1,32889,0,0
8,503,-0.248463318,0.605917454,1,32866,0,0
8,506,-0.248367786,0.74004966,1,32888,0,0
8,507,-0.24752596,0.59924984,1,32865,0,0
8,508,-0.247513786,0.733590603,1,32887,0,0
8,509,-0.246678695,0.592778206,1,32864,0,0
8,510,-0.245924413,0.586535454,1,32863,0,0
8,511,-0.245258659,0.445496947,1,32840,0,0
9,528,-0.245833695,1.68668258,1,33042,0,0
9,529,-0.244480193,1.55049539,1,33020,0,0
9,530,-0.243110687,1.54835415,1,33020,0,0
9,531,-0.241766348,1.41115344,1,32997,0,0
9,532,-0.241720676,1.54530859,1,33019,0,0
9,533,-0.240364224,1.40806329,1,32997,0,0
9,534,-0.239020675,1.40496325,1,32996,0,0
9,535,-0.23767589,1.26674664,1,32974,0,0
9,536,-0.240301862,1.54135621,1,33019,0,0
9,537,-0.238948539,1.40408921,1,32996,0,0
9,538,-0.277044356,1.28019822,0,4294967295,1,0
9,539,-0.236291572,1.26281333,1,32973,0,0
9,560,-0.237532452,1.53219569,1,33017,0,0
9,561,-0.236183256,1.39487195,1,32995,0,0
9,562,-0.234833926,1.39167345,1,32994,0,0
9,563,-0.233508661,1.25341332,1,32972,0,0
9,566,-0.23086451,1.24534369,1,32970,0,0
9,567,-0.229606479,1.10628712,1,32948,0,0
9,568,-0.232159719,1.3829459,1,32993,0,0
9,569,-0.230864331,1.24470592,1,32970,0,0
9,570,-0.22952044,1.24050283,1,32970,0,0
9,571,-0.228290766,1.10150456,1,32947,0,0
9,572,-0.228234261,1.23569274,1,32969,0,0
9,573,-0.22700803,1.09666467,1,32946,0,0
9,574,-0.268098921,0.979286015,0,4294967295,1,0
9,575,-0.224634156,0.952147365,1,33947,0,0
9,832,-0.2304281,1.50174463,1,33012,0,0
9,833,-0.268895417,1.37923288,0,4294967295,1,0
9,834,-0.227732286,1.36079466,1,32989,0,0
9,835,-0.267574847,1.24089932,0,4294967295,1,0
9,836,-0.226465225,1.35681772,0,34013,3,0
9,837,-0.225179464,1.21843624,0,33990,3,0
