trajectory_id,channel,ux,uy,uz,k_off,k_on,force_off,force_on,angle_center,angle_tolerance,error_limit,fringe_width,support_kind,cx,cy,cz,support_extent,support_ax,support_ay,support_az,support_angle
0,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
0,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
0,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
2,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
2,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
2,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
3,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
3,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
3,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
4,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
4,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
4,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
13,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
16,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
16,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
16,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
