lane,word,q
441,142999552,1
442,0,0
443,2148302868,1
444,81922,1
445,98304,1
446,268534277,0
447,0,0
448,0,0
449,0,1
450,1056768,0
451,8519680,1
452,0,1
453,0,1
454,0,0
455,0,0
456,268439552,0
457,1207959553,1
458,0,0
459,281542784,1
460,1076629520,1
461,2151711232,1
462,2148016144,0
463,1612712200,0
464,1073881120,0
465,268435520,1
466,272777228,0
467,0,1
468,2685403152,1
469,0,1
470,2214596608,0
471,142639176,0
472,0,0
473,29919232,1
474,0,0
475,603979904,1
476,168837120,1
477,0,1
478,278406656,0
479,2185232404,0
480,0,0
481,545259529,1
482,1458346,0
483,68157728,1
484,36880,1
485,0,1
486,1241517072,0
487,0,0
488,0,0
489,67289100,1
490,0,0
491,9453572,1
492,0,1
493,0,1
494,0,0
495,1157660680,0
496,1086394384,0
497,0,1
498,268781568,0
499,0,1
500,18882624,1
501,0,1
502,604241920,0
503,4243488,0
504,1073744384,0
505,139264,1
506,1221066754,0
507,0,1
508,8704,1
509,8394754,1
510,304128,0
511,0,0
512,0,0
513,0,1
514,67113280,0
515,1208303616,1
516,4194688,1
517,0,1
518,1142949890,0
519,337149952,0
520,0,0
521,0,1
522,0,0
523,0,1
524,1090523144,1
525,2686976032,1
526,79697536,0
527,0,0
528,184549903,0
529,0,1
530,0,0
531,17125664,1
532,33024,1
533,0,1
534,0,0
535,2147485760,0
536,8704,0
537,33636353,1
538,0,0
539,419430400,1
540,1241777185,1
541,0,1
542,0,0
543,671099904,0
544,2181043712,0
545,0,1
546,0,0
547,0,1
548,2164224,1
549,1107710082,1
550,0,0
551,19006480,0
552,0,0
553,33554466,1
554,0,0
555,4342016,1
556,0,1
557,805339396,1
558,0,0
559,268469280,0
560,0,0
561,0,1
562,192,0
563,2283814912,1
564,0,1
565,262784,1
566,0,0
567,0,0
568,0,0
569,0,1
570,0,0
571,1090552064,1
572,2751471616,1
573,131078,1
574,2415931394,0
575,1344929824,0
576,174391296,0
577,274202625,1
578,671171072,0
579,1107296260,1
580,262160,1
581,100929600,1
582,8393738,0
583,0,0
584,33818624,0
585,0,1
586,0,0
587,0,1
588,38916,1
589,1087668241,1
590,43517312,0
591,786432,0
592,8192,0
593,286804161,1
594,4210992,0
595,3146240,1
596,536871808,1
597,2360000,1
598,0,0
599,2148352,0
600,0,0
601,38813825,1
602,1078993408,0
603,2416984098,1
604,184553472,1
605,0,1
606,1074268160,0
607,1076035720,0
608,0,0
609,0,1
610,1090588672,0
611,0,1
612,1400901632,1
613,0,1
614,1073741960,0
615,0,0
616,0,0
617,2164260864,1
618,67141633,0
619,0,1
620,0,1
621,1024,1
622,66568,0
623,3290499201,0
624,0,0
625,67184768,1
626,2097168,0
627,69,1
628,0,1
629,131072,1
630,33555521,0
631,66628,0
632,2049,0
633,0,1
634,34406464,0
635,0,1
636,263169,1
637,537658400,1
638,1082687488,0
639,0,0
640,0,0
641,33570819,1
642,656512,0
643,2290618368,1
644,37748800,1
645,0,1
646,0,0
647,311689474,0
648,2420114784,0
649,1342210113,1
650,402653760,0
651,8208,1
652,0,1
653,12648460,1
654,17825984,0
655,0,0
656,0,0
657,524362,1
658,547487748,0
659,0,1
660,0,1
661,1073776640,1
662,0,0
663,67371144,0
664,262160,0
665,0,1
666,0,0
667,33622016,1
668,64,1
669,66560,1
670,8388672,0
671,545268096,0
672,0,0
673,0,1
674,65536,0
675,67114624,1
676,539165961,1
677,33729024,1
678,167904256,0
679,16,0
680,131220,0
681,0,1
682,0,0
683,0,1
684,1573441,1
685,67174400,1
686,805441536,0
687,2147751946,0
688,16810306,0
689,0,1
690,635400,0
691,6424600,1
692,0,1
693,335544320,1
694,277881090,0
695,2349203473,0
696,557184,0
697,0,1
698,393216,0
699,524294,1
700,0,1
701,32768,1
702,33751168,0
703,1073873024,0
704,0,0
705,536904209,1
706,58859521,0
707,2621504,1
708,553648640,1
709,134221956,1
710,0,0
711,2098178,0
712,2153971969,0
713,1119232,1
714,16846848,0
715,0,1
716,269485121,1
717,541081616,1
718,1074792480,0
719,67249152,0
720,0,0
721,2164523018,1
722,0,0
723,553910274,1
724,0,1
725,2102272,1
726,131121,0
727,84,0
728,36700480,0
729,336199680,1
730,555262208,0
731,1080075552,1
732,268439616,1
733,0,1
734,0,0
735,74752,0
736,2149876498,0
737,0,1
738,671613184,0
739,0,1
740,0,1
741,33554432,1
742,167805092,0
743,0,0
744,171970560,0
745,1056768,1
746,2105360,0
747,0,1
748,134218760,1
749,1073743904,1
750,268968064,0
751,3374383104,0
752,0,0
753,8,1
754,1095762464,0
755,136448896,1
756,1091048545,1
757,0,1
758,0,0
759,1073741824,0
760,2147655680,0
761,541335620,1
762,2148008012,0
763,1075052802,1
764,0,1
765,655361,1
766,0,0
767,320864384,0
768,4194304,0
769,260053008,1
770,0,0
771,134742051,1
772,2149745152,1
773,100732994,1
774,2166358016,0
775,528384,0
776,0,0
777,0,1
778,268501377,0
779,0,1
780,2148008976,1
781,0,1
782,0,0
783,34119680,0
784,0,0
785,268435477,1
786,2129920,0
787,5376000,1
788,0,1
789,269484048,1
790,71335940,0
791,329728,0
792,0,0
793,0,1
794,3221291200,0
795,0,1
796,604110851,1
797,0,1
798,0,0
799,2233597952,0
800,0,0
801,1085472,1
802,2693267984,0
803,16480,1
804,22530,1
805,33701904,1
806,152,0
807,0,0
808,285223328,0
809,536872448,1
810,2223120384,0
811,2147487763,1
812,0,1
813,33558534,1
814,135267350,0
815,205652129,0
816,2214658050,0
817,8389121,1
818,0,0
819,539033669,1
820,813760596,1
821,0,1
822,19660808,0
823,2164408325,0
824,21004544,0
825,16842758,1
826,0,0
827,67665930,1
828,268511488,1
829,0,1
830,1142964416,0
831,13144576,0
832,8685568,0
833,0,1
834,0,0
835,268468672,1
836,0,1
837,0,1
838,16,0
839,268435584,0
840,0,0
841,226526208,1
842,0,0
843,0,1
844,0,1
845,0,1
846,0,0
847,0,0
848,0,0
849,0,1
850,0,0
851,8918032,1
852,4194368,1
853,67108879,1
854,0,0
855,270548998,0
856,0,0
857,0,1
858,2550171656,0
859,0,1
860,0,1
861,0,1
862,2151677952,0
863,521,0
864,1342185476,0
865,805356040,1
866,2147532800,0
867,274739744,1
868,1140981761,1
869,0,1
870,34897924,0
871,2097280,0
872,0,0
873,1074790401,1
874,0,0
875,0,1
876,512,1
877,0,1
878,0,0
879,95682688,0
880,0,0
881,2281717760,1
882,69238913,0
883,35684352,1
884,0,1
885,0,1
886,1116520834,0
887,0,0
888,2416181256,0
889,0,1
890,290,0
891,2696945664,1
892,0,1
893,268567680,1
894,20482,0
895,2214854916,0
896,6850592,0
897,0,1
898,554716160,0
899,251789584,1
900,2222981136,1
901,1073741824,1
902,134745104,0
903,672138242,0
904,537153540,0
905,1056896,1
906,0,0
907,34078720,1
908,0,1
909,0,1
910,12288,0
911,0,0
912,1048704,0
913,268697600,1
914,293601794,0
915,0,1
916,0,1
917,71565442,1
918,8390726,0
919,1152,0
920,0,0
921,134367488,1
922,25215000,0
923,32788,1
924,2147745864,1
925,1076920321,1
926,0,0
927,2097664,0
928,0,0
929,16392,1
930,0,0
931,0,1
932,0,1
933,549593089,1
934,0,0
935,33554432,0
936,0,0
937,1694500864,1
938,0,0
939,38282816,1
940,859392,1
941,1360,1
942,268566528,0
943,0,0
944,0,0
945,42206336,1
946,0,0
947,3234074624,1
948,0,1
949,0,1
950,1212153888,0
951,0,0
952,0,0
953,2147483840,1
954,192,0
955,403701760,1
956,0,1
957,2415986688,1
958,0,0
959,131080,0
960,8389664,0
961,537026565,1
962,51646497,0
963,943726624,1
964,0,1
965,1619009536,1
966,0,0
967,0,0
968,16416,0
969,8,1
970,0,0
971,170918144,1
972,0,1
973,2148597760,1
974,2147485856,0
975,69476418,0
976,1536,0
977,587203073,1
978,1310768,0
979,2248149504,1
980,0,1
981,9179137,1
982,0,0
983,0,0
984,0,0
985,2286027776,1
986,2132,0
987,0,1
988,0,1
989,16384,1
990,134217793,0
991,0,0
992,0,0
993,3222806688,1
994,3221323776,0
995,1476395044,1
996,1560281088,1
997,0,1
998,67728,0
999,67133474,0
1000,4194688,0
1001,12,1
1002,4197416,0
1003,0,1
1004,0,1
1005,0,1
1006,0,0
1007,0,0
1008,1310848,0
1009,1048616,1
1010,8552448,0
1011,0,1
1012,1614344,1
1013,1107689485,1
1014,0,0
1015,33562688,0
1016,0,0
1017,34144288,1
1018,553713728,0
1019,0,1
1020,0,1
1021,0,1
1022,1075586080,0
1023,0,0
1024,0,0
1025,0,1
1026,0,0
1027,268435491,1
1028,269484288,1
1029,0,1
1030,69533728,0
1031,8388608,0
1032,0,0
1033,276963652,1
1034,8388704,0
1035,2953775108,1
1036,1218445376,1
1037,1677721856,1
1038,2097665,0
1039,35851272,0
1040,39847936,0
1041,8388608,1
1042,270532736,0
1043,1051264,1
1044,338436112,1
1045,0,1
1046,2147614722,0
1047,0,0
1048,0,0
1049,73670792,1
1050,1,0
1051,0,1
1052,1627447360,1
1053,0,1
1054,0,0
1055,147528,0
1056,288882688,0
1057,0,1
1058,268699156,0
1059,0,1
1060,0,1
1061,1082261637,1
1062,0,0
1063,4194304,0
1064,0,0
1065,269746182,1
1066,0,0
1067,0,1
1068,1086857216,1
1069,587464784,1
1070,0,0
1071,68165700,0
1072,0,0
1073,0,1
1074,0,0
1075,0,1
1076,0,1
1077,50343938,1
1078,553722112,0
1079,0,0
1080,16785984,0
1081,0,1
1082,1712385,0
1083,16384,1
1084,2097153,1
1085,0,1
1086,1074331779,0
1087,0,0
1088,1076888576,0
1089,2148566018,1
1090,33636508,0
1091,67648,1
1092,8192,1
1093,8437792,1
1094,0,0
1095,3222316039,0
1096,33689730,0
1097,69472492,1
1098,67109392,0
1099,402686080,1
1100,2152,1
1101,0,1
1102,0,0
1103,205684736,0
1104,3457162560,0
1105,1912638464,1
1106,0,0
1107,0,1
1108,0,1
1109,0,1
1110,0,0
1111,0,0
1112,0,0
1113,34734228,1
1114,802816,0
1115,536871940,1
1116,0,1
1117,1082132608,1
1118,0,0
1119,1073750530,0
1120,0,0
1121,0,1
1122,1074791463,0
1123,0,1
1124,2181038609,1
1125,0,1
1126,0,0
1127,16777344,0
1128,151003138,0
1129,565446922,1
1130,0,0
1131,4325376,1
1132,771756080,1
1133,0,1
1134,0,0
1135,3489660960,0
1136,1619394560,0
1137,262400,1
1138,0,0
1139,0,1
1140,2684878848,1
1141,0,1
1142,0,0
1143,335579136,0
1144,329728,0
1145,0,1
1146,8938240,0
1147,0,1
1148,0,1
1149,0,1
1150,0,0
1151,603979904,0
1152,0,0
1153,553,1
1154,0,0
1155,0,1
1156,0,1
1157,2688815104,1
1158,536907776,0
1159,135266304,0
1160,2415919360,0
1161,18874402,1
1162,0,0
1163,33563648,1
1164,134217728,1
1165,3221225600,1
1166,0,0
1167,0,0
1168,272634952,0
1169,1073874944,1
1170,152043810,0
1171,0,1
1172,0,1
1173,1073762310,1
1174,2852167680,0
1175,67111442,0
1176,0,0
1177,25427976,1
1178,16927744,0
1179,134219786,1
1180,150995456,1
1181,35783298,1
1182,2148584656,0
1183,541524996,0
1184,2449884160,0
1185,17152,1
1186,0,0
1187,0,1
1188,128,1
1189,83935233,1
1190,0,0
1191,0,0
1192,155451968,0
1193,2164883969,1
1194,0,0
1195,0,1
1196,1363148800,1
1197,1384135696,1
1198,2449997825,0
1199,16777792,0
1200,3221356612,0
1201,0,1
1202,0,0
1203,0,1
1204,0,1
1205,3178496,1
1206,12601344,0
1207,2252406978,0
1208,134479872,0
1209,0,1
1210,805449728,0
1211,8417408,1
1212,0,1
1213,557842432,1
1214,8192,0
1215,0,0
1216,0,0
1217,2324168705,1
1218,1572880,0
1219,2416609537,1
1220,18875492,1
1221,0,1
1222,1108344848,0
1223,33554434,0
1224,25235464,0
1225,0,1
1226,1375879168,0
1227,0,1
1228,570957828,1
1229,0,1
1230,1074071042,0
1231,0,0
1232,1109397504,0
1233,0,1
1234,0,0
1235,196,1
1236,536870916,1
1237,8667144,1
1238,33653376,0
