            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460700.565972222, A.D. 2025-Jan-25 01:35:00.0000, -2.476304863410703E+03, -1.157197665996657E+05,  9.054953928200762E+04,  5.274454905344874E-01, -4.599400089749850E-01, -3.351041851685620E-02,
2460700.569444444, A.D. 2025-Jan-25 01:40:00.0000, -2.318057456026042E+03, -1.158570945805326E+05,  9.053897391415623E+04,  5.275362023092288E-01, -4.555804713761303E-01, -3.692415338873434E-02,
2460700.572916667, A.D. 2025-Jan-25 01:45:00.0000, -2.159783754955056E+03, -1.159931152428629E+05,  9.052738551422574E+04,  5.276207860475431E-01, -4.512245386126740E-01, -4.033064581270993E-02,
2460700.576388889, A.D. 2025-Jan-25 01:50:00.0000, -2.001485594769136E+03, -1.161278296560447E+05,  9.051477624289540E+04,  5.276992673512786E-01, -4.468721304166552E-01, -4.372997604568078E-02,
2460700.579861111, A.D. 2025-Jan-25 01:55:00.0000, -1.843164802358711E+03, -1.162612388655133E+05,  9.050114823686505E+04,  5.277716712627358E-01, -4.425231668929983E-01, -4.712222364919890E-02,
2460700.583333333, A.D. 2025-Jan-25 02:00:00.0000, -1.684823197354288E+03, -1.163933438926490E+05,  9.048650360908448E+04,  5.278380222707046E-01, -4.381775685185237E-01, -5.050746749458275E-02,
2460700.586805556, A.D. 2025-Jan-25 02:05:00.0000, -1.526462592004453E+03, -1.165241457351271E+05,  9.047084444893301E+04,  5.278983443165858E-01, -4.338352561250555E-01, -5.388578578040149E-02,
2460700.590277778, A.D. 2025-Jan-25 02:10:00.0000, -1.368084791447016E+03, -1.166536453669336E+05,  9.045417282242961E+04,  5.279526608000510E-01, -4.294961508940191E-01, -5.725725604060757E-02,
2460700.593750000, A.D. 2025-Jan-25 02:15:00.0000, -1.209691593922539E+03, -1.167818437384253E+05,  9.043649077243538E+04,  5.280009945855305E-01, -4.251601743500877E-01, -6.062195515430524E-02,
2460700.597222222, A.D. 2025-Jan-25 02:20:00.0000, -1.051284790807532E+03, -1.169087417765343E+05,  9.041780031883446E+04,  5.280433680060058E-01, -4.208272483479095E-01, -6.397995935855517E-02,
2460700.600694444, A.D. 2025-Jan-25 02:25:00.0000, -8.928661670273475E+02, -1.170343403846625E+05,  9.039810345875588E+04,  5.280798028691401E-01, -4.164972950715841E-01, -6.733134425341764E-02,
2460700.604166667, A.D. 2025-Jan-25 02:30:00.0000, -7.344375009239392E+02, -1.171586404430098E+05,  9.037740216672781E+04,  5.281103204629227E-01, -4.121702370187905E-01, -7.067618481803022E-02,
2460700.607638889, A.D. 2025-Jan-25 02:35:00.0000, -5.760005645318712E+02, -1.172816428085709E+05,  9.035569839487746E+04,  5.281349415605144E-01, -4.078459969957984E-01, -7.401455541823636E-02,
2460700.611111111, A.D. 2025-Jan-25 02:40:00.0000, -4.175571236854200E+02, -1.174033483152607E+05,  9.033299407310551E+04,  5.281536864252868E-01, -4.035244981082510E-01, -7.734652981702242E-02,
2460700.614583333, A.D. 2025-Jan-25 02:45:00.0000, -2.591089383768693E+02, -1.175237577738473E+05,  9.030929110929697E+04,  5.281665748157043E-01, -3.992056637589865E-01, -8.067218118005783E-02,
2460700.618055556, A.D. 2025-Jan-25 02:50:00.0000, -1.006577626297756E+02, -1.176428719722515E+05,  9.028459138945822E+04,  5.281736259901162E-01, -3.948894176323660E-01, -8.399158209097497E-02,
2460700.621527778, A.D. 2025-Jan-25 02:55:00.0000,  5.779465524523651E+01, -1.177606916755482E+05,  9.025889677790519E+04,  5.281748587115017E-01, -3.905756836897731E-01, -8.730480455842729E-02,
2460700.625000000, A.D. 2025-Jan-25 03:00:00.0000,  2.162465724505149E+02, -1.178772176260100E+05,  9.023220911744308E+04,  5.281702912521741E-01, -3.862643861632987E-01, -9.061192002430306E-02,
2460700.628472222, A.D. 2025-Jan-25 03:05:00.0000,  3.746962516814903E+02, -1.179924505432795E+05,  9.020453022951330E+04,  5.281599413974043E-01, -3.819554495441078E-01, -9.391299937528808E-02,
2460700.631944444, A.D. 2025-Jan-25 03:10:00.0000,  5.331419607268912E+02, -1.181063911242623E+05,  9.017586191440395E+04,  5.281438264502062E-01, -3.776487985820969E-01, -9.720811294664523E-02,
2460700.635416667, A.D. 2025-Jan-25 03:15:00.0000,  6.915819726137627E+02, -1.182190400434124E+05,  9.014620595136247E+04,  5.281219632355431E-01, -3.733443582705223E-01, -1.004973305370778E-01,
2460700.638888889, A.D. 2025-Jan-25 03:20:00.0000,  8.500145653437620E+02, -1.183303979527171E+05,  9.011556409877683E+04,  5.280943681042621E-01, -3.690420538418661E-01, -1.037807214147127E-01,
2460700.642361111, A.D. 2025-Jan-25 03:25:00.0000,  1.008438021798092E+03, -1.184404654817979E+05,  9.008393809432318E+04,  5.280610569370460E-01, -3.647418107589959E-01, -1.070583543268203E-01,
2460700.645833333, A.D. 2025-Jan-25 03:30:00.0000,  1.166850629390988E+03, -1.185492432378382E+05,  9.005132965516375E+04,  5.280220451482908E-01, -3.604435547135709E-01, -1.103302975038774E-01,
2460700.649305556, A.D. 2025-Jan-25 03:35:00.0000,  1.325250680207823E+03, -1.186567318058421E+05,  9.001774047804382E+04,  5.279773476897720E-01, -3.561472116111146E-01, -1.135966186736266E-01,
2460700.652777778, A.D. 2025-Jan-25 03:40:00.0000,  1.483636470760429E+03, -1.187629317486234E+05,  8.998317223946309E+04,  5.279269790542808E-01, -3.518527075666555E-01, -1.168573850671018E-01,
2460700.656250000, A.D. 2025-Jan-25 03:45:00.0000,  1.642006301797835E+03, -1.188678436068324E+05,  8.994762659583428E+04,  5.278709532791520E-01, -3.475599688989656E-01, -1.201126634256001E-01,
2460700.659722222, A.D. 2025-Jan-25 03:50:00.0000,  1.800358478296899E+03, -1.189714678990998E+05,  8.991110518360064E+04,  5.278092839496321E-01, -3.432689221200171E-01, -1.233625200112993E-01,
2460700.663194444, A.D. 2025-Jan-25 03:55:00.0000,  1.958691309073053E+03, -1.190738051219281E+05,  8.987360961943750E+04,  5.277419842023009E-01, -3.389794939346590E-01, -1.266070206099168E-01,
2460700.666666667, A.D. 2025-Jan-25 04:00:00.0000,  2.117003106933327E+03, -1.191748557499348E+05,  8.983514150032699E+04,  5.276690667280671E-01, -3.346916112258102E-01, -1.298462305442467E-01,
2460700.670138889, A.D. 2025-Jan-25 04:05:00.0000,  2.275292188435358E+03, -1.192746202358350E+05,  8.979570240372082E+04,  5.275905437755358E-01, -3.304052010505080E-01, -1.330802146797017E-01,
2460700.673611111, A.D. 2025-Jan-25 04:10:00.0000,  2.433556873703179E+03, -1.193730990104591E+05,  8.975529388768904E+04,  5.275064271539269E-01, -3.261201906342013E-01, -1.363090374307803E-01,
2460700.677083333, A.D. 2025-Jan-25 04:15:00.0000,  2.591795486422493E+03, -1.194702924828813E+05,  8.971391749102167E+04,  5.274167282358986E-01, -3.218365073604075E-01, -1.395327627710559E-01,
2460700.680555556, A.D. 2025-Jan-25 04:20:00.0000,  2.750006353456087E+03, -1.195662010403103E+05,  8.967157473342707E+04,  5.273214579605535E-01, -3.175540787707685E-01, -1.427514542353453E-01,
2460700.684027778, A.D. 2025-Jan-25 04:25:00.0000,  2.908187805002824E+03, -1.196608250483125E+05,  8.962826711558623E+04,  5.272206268359975E-01, -3.132728325502796E-01, -1.459651749328695E-01,
2460700.687500000, A.D. 2025-Jan-25 04:30:00.0000,  3.066338174348034E+03, -1.197541648507798E+05,  8.958399611931098E+04,  5.271142449420462E-01, -3.089926965238350E-01, -1.491739875518691E-01,
2460700.690972222, A.D. 2025-Jan-25 04:35:00.0000,  3.224455797781872E+03, -1.198462207699965E+05,  8.953876320765528E+04,  5.270023219327279E-01, -3.047135986481820E-01, -1.523779543676888E-01,
2460700.694444444, A.D. 2025-Jan-25 04:40:00.0000,  3.382539014266345E+03, -1.199369931065609E+05,  8.949256982509869E+04,  5.268848670388986E-01, -3.004354670105848E-01, -1.555771372455415E-01,
2460700.697916667, A.D. 2025-Jan-25 04:45:00.0000,  3.540586165585591E+03, -1.200264821395821E+05,  8.944541739758736E+04,  5.267618890704053E-01, -2.961582298148570E-01, -1.587715976529314E-01,
2460700.701388889, A.D. 2025-Jan-25 04:50:00.0000,  3.698595596113681E+03, -1.201146881266533E+05,  8.939730733268376E+04,  5.266333964184389E-01, -2.918818153773924E-01, -1.619613966643957E-01,
2460700.704861111, A.D. 2025-Jan-25 04:55:00.0000,  3.856565652637385E+03, -1.202016113038546E+05,  8.934824101969833E+04,  5.264993970577617E-01, -2.876061521218420E-01, -1.651465949671029E-01,
2460700.708333333, A.D. 2025-Jan-25 05:00:00.0000,  4.014494684357991E+03, -1.202872518858540E+05,  8.929821982976605E+04,  5.263598985487081E-01, -2.833311685692625E-01, -1.683272528699926E-01,
2460700.711805556, A.D. 2025-Jan-25 05:05:00.0000,  4.172381042513846E+03, -1.203716100657991E+05,  8.924724511603934E+04,  5.262149080394450E-01, -2.790567933382113E-01, -1.715034303052721E-01,
2460700.715277778, A.D. 2025-Jan-25 05:10:00.0000,  4.330223080543343E+03, -1.204546860154990E+05,  8.919531821370879E+04,  5.260644322674490E-01, -2.747829551302963E-01, -1.746751868405806E-01,
2460700.718750000, A.D. 2025-Jan-25 05:15:00.0000,  4.488019153854525E+03, -1.205364798853907E+05,  8.914244044014544E+04,  5.259084775617917E-01, -2.705095827268265E-01, -1.778425816832286E-01,
2460700.722222222, A.D. 2025-Jan-25 05:20:00.0000,  4.645767619651049E+03, -1.206169918045343E+05,  8.908861309502555E+04,  5.257470498449374E-01, -2.662366049835788E-01, -1.810056736855162E-01,
2460700.725694444, A.D. 2025-Jan-25 05:25:00.0000,  4.803466836936655E+03, -1.206962218806993E+05,  8.903383746039258E+04,  5.255801546340962E-01, -2.619639508207185E-01, -1.841645213534423E-01,
2460700.729166667, A.D. 2025-Jan-25 05:30:00.0000,  4.961115166140693E+03, -1.207741702002563E+05,  8.897811480084884E+04,  5.254077970431570E-01, -2.576915492232850E-01, -1.873191828477484E-01,
2460700.732638889, A.D. 2025-Jan-25 05:35:00.0000,  5.118710969284964E+03, -1.208508368283384E+05,  8.892144636355754E+04,  5.252299817839273E-01, -2.534193292267934E-01, -1.904697159957990E-01,
