trajectory_id,epoch_id,time,valid,target_e,target_n,target_u,observed_x,observed_y,observed_z,clock_bias_m,force_e,force_n,force_u
0,8,1473458149.0,1,0.0,0.0,0.0,4426043.265548802,-89428.53596108218,4576297.58342175,-14453.240021321773,0.0,0.0,0.0
0,9,1473458150.0,1,0.06892667183561599,0.1303307171335379,0.06870709723421084,4426043.220578194,-89428.46611170778,4576297.723265793,-14304.878253840774,0.0,0.0,0.0
0,10,1473458151.0,1,0.05680387635837785,0.2063194443641787,-0.031023293847885824,4426043.096465894,-89428.47572927922,4576297.704003417,-14156.534900387514,0.0,0.0,0.0
0,11,1473458152.0,1,0.060292444861561795,0.2864829182428507,-0.05604582295468792,4426043.021411209,-89428.47072351316,4576297.741502967,-14008.200987543412,0.0,0.0,0.0
0,12,1473458153.0,1,0.042791543615346234,0.2555709183221909,-0.21540543719238428,4426042.932950568,-89428.48644063249,4576297.6051761275,-13860.001673438634,0.0,0.0,0.0
0,13,1473458154.0,1,-0.0026760720377543767,0.3246512080650493,-0.3791815381555876,4426042.7687791195,-89428.52860043173,4576297.5349458745,-13711.740948989405,0.0,0.0,0.0
0,14,1473458155.0,1,-0.004349159571571544,0.2017519573215188,-0.28423170021752453,4426042.923119864,-89428.53339232707,4576297.518258485,-13563.284065282112,0.0,0.0,0.0
0,15,1473458156.0,1,-0.04511126787946767,0.09089311172790086,-0.18321490241779184,4426043.072193531,-89428.5771747996,4576297.514288158,-13414.821541742103,0.0,0.0,0.0
0,16,1473458157.0,1,-0.06462491556682227,-0.009029136957240204,-0.5814865904610536,4426042.86794304,-89428.59256553357,4576297.157874862,-13266.713440244059,0.0,0.0,0.0
0,17,1473458158.0,1,-0.0084986520391471,0.02757339941887493,-0.5789520292313384,4426042.844445092,-89428.53595303677,4576297.185063072,-13118.38024630796,0.0,0.0,0.0
0,18,1473458159.0,1,-0.019923232378628614,-0.05532675574970138,-0.6186539510480624,4426042.876476226,-89428.54802714036,4576297.098996691,-12970.00453214372,0.0,0.0,0.0
0,19,1473458160.0,1,-0.07654296658074183,-0.05331674995579025,-0.5068715927958811,4426042.951317693,-89428.6061706082,4576297.180991948,-12821.513971664974,0.0,0.0,0.0
0,20,1473458161.0,1,-0.027517312764887045,0.05680363506936907,-0.3185952950707263,4426043.003343523,-89428.55818613395,4576297.393050387,-12672.983295392098,0.0,0.0,0.0
0,21,1473458162.0,1,-0.015757590372992052,0.16326780602764565,-0.23387168126558947,4426042.985518981,-89428.54606386517,4576297.527907117,-12524.517262800771,0.0,0.0,0.0
0,22,1473458163.0,1,0.05354351440063324,0.12696809977679377,-0.06928409660074505,4426043.127101842,-89428.47960930826,4576297.621435028,-12376.034821071153,0.0,0.0,0.0
