lane,word,q
1918,0,0
1919,433600036,1
1920,290262016,0
1921,0,1
1922,1610876930,0
1923,429658468,0
1924,75776332,1
1925,3356492176,1
1926,0,0
1927,1372724960,1
1928,0,0
1929,2225239041,1
1930,0,0
1931,0,0
1932,0,1
1933,0,1
1934,0,0
1935,0,1
1936,0,0
1937,0,1
1938,2328970380,0
1939,2164293760,0
1940,0,1
1941,2183185115,1
1942,280024323,0
1943,1671450640,1
1944,2299204192,0
1945,67338498,1
1946,270581987,0
1947,305696640,0
1948,0,1
1949,2617298955,1
1950,0,0
1951,563348240,1
1952,0,0
1953,0,1
1954,0,0
1955,0,0
1956,0,1
1957,0,1
1958,2386559106,0
1959,0,1
1960,7930394,0
1961,2353792276,1
1962,0,0
1963,2887795208,0
1964,0,1
1965,0,1
1966,1224741333,0
1967,0,1
1968,292848170,0
1969,2912168731,1
1970,0,0
1971,1629241705,0
1972,1621168424,1
1973,0,1
1974,746979642,0
1975,49197,1
1976,0,0
1977,0,1
1978,0,0
1979,2802978896,0
1980,67186694,1
1981,351032704,1
1982,134682817,0
1983,591732805,1
1984,0,0
1985,0,1
1986,0,0
1987,645040386,0
1988,0,1
1989,3591475438,1
1990,0,0
1991,2760770058,1
1992,0,0
1993,1236337793,1
1994,0,0
1995,1073848520,0
1996,2185052483,1
1997,807403649,1
1998,0,0
1999,35521352,1
2000,1619304521,0
2001,592249473,1
2002,0,0
2003,0,0
2004,2299004162,1
2005,2887795876,1
2006,0,0
2007,2483032578,1
2008,0,0
2009,3288425154,1
2010,0,0
2011,3549561984,0
2012,0,1
2013,0,1
2014,339805192,0
2015,1087015656,1
2016,0,0
2017,1379147155,1
2018,1411966180,0
2019,453150720,0
2020,0,1
2021,1627692034,1
2022,0,0
2023,0,1
2024,0,0
2025,134220998,1
2026,4274182,0
2027,2157133956,0
2028,31621392,1
2029,2164275280,1
2030,102930715,0
2031,5242912,1
2032,0,0
2033,40076547,1
2034,1174618724,0
2035,360974920,0
2036,0,1
2037,0,1
2038,0,0
2039,1110461578,1
2040,0,0
2041,268981248,1
2042,0,0
2043,0,0
2044,0,1
2045,0,1
2046,126099652,0
2047,0,1
2048,0,0
2049,1111900165,1
2050,2157521280,0
2051,0,0
2052,939819672,1
2053,0,1
2054,3873456152,0
2055,68272672,1
2056,0,0
2057,8388638,1
2058,674762770,0
2059,0,0
2060,2826979104,1
2061,2150681172,1
2062,3229952256,0
2063,2566959360,1
2064,25299716,0
2065,1326057547,1
2066,675913792,0
2067,100728898,0
2068,807665827,1
2069,542122122,1
2070,2168980496,0
2071,0,1
2072,1630273796,0
2073,1342767104,1
2074,2164278281,0
2075,605030468,0
2076,3290562568,1
2077,0,1
2078,0,0
2079,503910450,1
2080,0,0
2081,0,1
2082,0,0
2083,0,0
2084,0,1
2085,0,1
2086,0,0
2087,0,1
2088,2752064264,0
2089,0,1
2090,1096032902,0
2091,2149323264,0
2092,3231978347,1
2093,1076055556,1
2094,42096276,0
2095,75500041,1
2096,0,0
2097,0,1
2098,2516779220,0
2099,168872728,0
2100,445333776,1
2101,2415927304,1
2102,0,0
2103,0,1
2104,0,0
2105,295699348,1
2106,0,0
2107,0,0
2108,0,1
2109,0,1
2110,3231114010,0
2111,0,1
2112,629412871,0
2113,0,1
2114,360564,0
2115,0,0
2116,545265688,1
2117,36276,1
2118,16916512,0
2119,0,1
2120,0,0
2121,0,1
2122,650125584,0
2123,1146020196,0
2124,293699591,1
2125,0,1
2126,0,0
2127,0,1
2128,0,0
2129,2416087576,1
2130,0,0
2131,0,0
2132,0,1
2133,349942067,1
2134,0,0
2135,1107435778,1
2136,0,0
2137,2187332098,1
2138,1128853145,0
2139,0,0
2140,2169503753,1
2141,0,1
2142,2147562528,0
2143,0,1
2144,314777868,0
2145,3242995720,1
2146,0,0
2147,0,0
2148,705048612,1
2149,98871,1
2150,278938190,0
2151,234971293,1
2152,10502672,0
2153,2471235724,1
2154,0,0
2155,0,0
2156,1285595146,1
2157,0,1
2158,0,0
2159,372377600,1
2160,0,0
2161,1079593105,1
2162,558008548,0
2163,0,0
2164,0,1
2165,0,1
2166,356618256,0
2167,134226953,1
2168,0,0
2169,3491776529,1
2170,0,0
2171,0,0
2172,0,1
2173,978591772,1
2174,419463594,0
2175,589042184,1
2176,0,0
2177,0,1
2178,0,0
2179,0,0
2180,2686716552,1
2181,0,1
2182,0,0
2183,0,1
2184,2992146432,0
2185,0,1
2186,0,0
2187,0,0
2188,0,1
2189,2226143338,1
2190,3523676744,0
2191,1211368293,1
2192,0,0
2193,570459392,1
2194,83886081,0
2195,680444040,0
2196,2147695750,1
2197,0,1
2198,873636992,0
2199,0,1
2200,4554786,0
2201,657500,1
2202,1107567184,0
2203,0,0
2204,277430531,1
2205,555162027,1
2206,1183745,0
2207,1209282955,1
2208,2585429032,0
2209,0,1
2210,0,0
2211,0,0
2212,138969120,1
2213,2189730418,1
2214,436224048,0
2215,0,1
2216,0,0
2217,0,1
2218,436996100,0
2219,0,0
2220,0,1
2221,2533539840,1
2222,1282560150,0
2223,681580569,1
2224,0,0
2225,0,1
2226,1880399203,0
2227,0,0
2228,672732305,1
2229,1087046147,1
2230,0,0
2231,2684949080,1
2232,0,0
2233,2294284740,1
2234,7868290,0
2235,0,0
2236,2432729600,1
2237,2969567717,1
2238,1150191616,0
2239,34111493,1
2240,2307983360,0
2241,537952454,1
2242,0,0
2243,92635144,0
2244,276858000,1
2245,0,1
2246,0,0
2247,0,1
2248,0,0
2249,1688432961,1
2250,48234579,0
2251,0,0
2252,186732576,1
2253,1350976897,1
2254,280592,0
2255,0,1
2256,3493874436,0
2257,0,1
2258,1804643737,0
2259,285999264,0
2260,0,1
2261,0,1
2262,0,0
2263,0,1
2264,2415923458,0
2265,306775174,1
2266,0,0
2267,0,0
2268,0,1
2269,76103815,1
2270,0,0
2271,1314948948,1
2272,269562502,0
2273,0,1
2274,2353418537,0
2275,0,0
2276,2901148238,1
2277,0,1
2278,0,0
2279,103547987,1
2280,0,0
2281,286535685,1
2282,2978481408,0
2283,0,0
2284,234930467,1
2285,8396288,1
2286,2154431704,0
2287,2147885068,1
2288,0,0
2289,17113646,1
2290,0,0
2291,0,0
2292,2618032232,1
2293,0,1
2294,268845076,0
2295,1074304776,1
2296,303727744,0
2297,2155872841,1
2298,2318742,0
2299,0,0
2300,50497537,1
2301,3041702144,1
2302,0,0
2303,103343361,1
2304,0,0
2305,137399456,1
2306,0,0
2307,0,0
2308,0,1
2309,2835507299,1
2310,135285376,0
2311,0,1
2312,0,0
2313,2158232329,1
2314,2560166213,0
2315,1813123144,0
2316,76558748,1
2317,3507224577,1
2318,1112024626,0
2319,209715360,1
2320,0,0
2321,403703850,1
2322,2753561026,0
2323,0,0
2324,2861181065,1
2325,3355640326,1
2326,0,0
2327,0,1
2328,1107612992,0
2329,0,1
2330,2181562499,0
2331,537026560,0
2332,1757441169,1
2333,0,1
2334,2185234432,0
2335,1187779216,1
2336,0,0
2337,2728154216,1
2338,2451058228,0
2339,0,0
2340,0,1
2341,0,1
2342,1166034176,0
2343,2459971784,1
2344,0,0
2345,0,1
2346,2690750516,0
2347,681586944,0
2348,1879605306,1
2349,0,1
2350,0,0
2351,3234400417,1
2352,277135563,0
2353,31217793,1
2354,2877293828,0
2355,0,0
2356,2751901768,1
2357,0,1
2358,0,0
2359,0,1
2360,1151338810,0
2361,1359225217,1
2362,555418690,0
2363,0,0
2364,0,1
2365,3222410242,1
2366,2216701966,0
2367,0,1
2368,0,0
2369,0,1
2370,355856,0
2371,0,0
2372,2185232963,1
2373,2418808880,1
2374,0,0
2375,575852968,1
2376,0,0
2377,678455815,1
2378,33673692,0
2379,0,0
2380,0,1
2381,2215648002,1
2382,0,0
2383,0,1
2384,1074956322,0
2385,0,1
2386,0,0
2387,538576903,0
2388,1910921760,1
2389,34999370,1
2390,2181140747,0
2391,0,1
2392,0,0
2393,0,1
2394,327297318,0
2395,3258015816,0
2396,0,1
2397,0,1
2398,0,0
2399,2972459008,1
2400,0,0
2401,11065504,1
2402,2179006476,0
2403,0,0
2404,1613371665,1
2405,2149584904,1
2406,0,0
2407,0,1
2408,822096036,0
2409,0,1
2410,2153842978,0
2411,0,0
2412,0,1
2413,0,1
2414,0,0
2415,0,1
2416,0,0
2417,1132856880,1
2418,3025568009,0
2419,1191580552,0
2420,0,1
2421,0,1
2422,3378882582,0
2423,2167443650,1
2424,0,0
2425,2147748096,1
2426,536876074,0
2427,2688614860,0
2428,2366850577,1
2429,0,1
2430,1256259625,0
2431,0,1
2432,0,0
2433,0,1
2434,0,0
2435,0,0
2436,2164432016,1
2437,0,1
2438,587205662,0
2439,0,1
2440,0,0
2441,0,1
2442,2216051202,0
2443,0,0
2444,156237952,1
2445,0,1
2446,0,0
2447,2034260424,1
2448,0,0
2449,0,1
