generation,branch,rho,phi,alive,cell,status,orientation
8,425,-0.283212751,1.08840692,1,30897,0,0
8,428,-0.278951436,1.08911955,1,30897,0,0
8,429,-0.276937604,0.954358697,1,30875,0,0
8,430,-0.274891287,0.954853296,1,30875,0,0
8,431,-0.314973444,0.845899045,0,4294967295,1,0
8,468,-0.274458498,1.09099913,1,30897,0,0
8,469,-0.272449613,0.956234336,1,31899,0,0
8,470,-0.2704117,0.956723392,1,31899,0,0
8,471,-0.268456995,0.822223842,1,31878,0,0
8,472,-0.272326708,1.09177184,1,31921,0,0
8,473,-0.270321965,0.957005322,1,31899,0,0
8,476,-0.26625669,0.958250403,1,31900,0,0
8,477,-0.264316797,0.823744595,1,31878,0,0
8,478,-0.26240024,0.824482203,1,31878,0,0
8,479,-0.260540217,0.69023025,1,31856,0,0
8,480,-0.278499693,1.22643352,1,30919,0,0
8,481,-0.314517885,1.11765361,0,4294967295,1,0
8,482,-0.274385661,1.09160542,1,30897,0,0
8,483,-0.272376776,0.956839561,1,31899,0,0
8,496,-0.268060207,1.09390783,1,31922,0,0
8,497,-0.26606366,0.959136724,1,31900,0,0
8,498,-0.264044464,0.959614277,1,31900,0,0
8,499,-0.304035217,0.850510359,0,4294967295,1,0
8,500,-0.262032181,0.960363209,1,31900,0,0
8,501,-0.260091901,0.82585156,1,31878,0,0
8,502,-0.258152753,0.826592207,1,31878,0,0
8,503,-0.256299287,0.692333639,1,31856,0,0
8,506,-0.256180197,0.827613115,1,31878,0,0
8,507,-0.254329622,0.693351209,1,31856,0,0
8,508,-0.254285991,0.828616619,1,31879,0,0
8,509,-0.252452075,0.694346011,1,31857,0,0
8,510,-0.250643015,0.695326984,1,31857,0,0
8,511,-0.248925507,0.56129092,1,32859,0,0
9,528,-0.286463886,1.60029149,1,30980,0,0
9,529,-0.284584075,1.46451306,1,30958,0,0
9,530,-0.2825495,1.46394372,1,30958,0,0
9,531,-0.280586123,1.32842886,1,30936,0,0
9,532,-0.280376732,1.46361983,1,30958,0,0
9,533,-0.278413922,1.32810497,1,30936,0,0
9,534,-0.276319712,1.3278178,1,30936,0,0
9,535,-0.274313748,1.19257605,1,30914,0,0
9,536,-0.278093874,1.46356249,1,30958,0,0
9,537,-0.276135534,1.32804894,1,30936,0,0
9,538,-0.308578789,1.21868002,0,4294967295,1,0
9,539,-0.272044659,1.1925211,1,31938,0,0
9,560,-0.273332804,1.46401143,1,31982,0,0
