generation,candidates,active,kernel_ms
1,2,2,
2,4,4,
3,8,4,
4,8,6,
5,12,9,
6,18,16,
7,32,27,
8,54,50,
9,100,82,
10,164,103,
11,206,91,
12,182,111,
