lane,word,q
446,268533765,0
447,0,0
448,0,0
449,0,1
450,1056768,0
451,8519680,1
452,0,1
453,0,1
454,0,0
455,0,0
456,268439552,0
457,1207959553,1
458,0,0
459,46661760,1
460,1076117520,1
461,2164294144,1
462,2148016144,0
463,538970376,0
464,1076502560,0
465,268435520,1
466,272696332,0
467,0,1
468,2685403152,1
469,0,1
470,2215645184,0
471,142639176,0
472,0,0
473,562176,1
474,0,0
475,603979904,1
476,168845312,1
477,0,1
478,270018080,0
479,2185232404,0
480,0,0
481,545259529,1
482,1474730,0
483,605159712,1
484,36864,1
485,0,1
486,0,0
487,0,0
488,0,0
489,67338240,1
490,0,0
491,9453572,1
492,0,1
493,0,1
494,0,0
495,1140883464,0
496,1078005776,0
497,0,1
498,436551680,0
499,0,1
500,18874432,1
501,0,1
502,604241920,0
503,4243488,0
504,1610615336,0
505,139264,1
506,1758461959,0
507,0,1
508,8704,1
509,8394754,1
510,0,0
511,0,0
512,0,0
513,0,1
514,67113280,0
515,0,1
516,4227456,1
517,0,1
518,1142949890,0
519,270041088,0
520,0,0
521,0,1
522,0,0
523,0,1
524,1090531336,1
525,2686976032,1
526,75502848,0
527,0,0
528,167772686,0
529,0,1
530,0,0
531,25514272,1
532,33024,1
533,0,1
534,0,0
535,2147485760,0
536,512,0
537,33636353,1
538,0,0
539,419430400,1
540,184813089,1
541,0,1
542,0,0
543,671099904,0
544,2181051904,0
545,0,1
546,0,0
547,0,1
548,67072,1
549,1107710082,1
550,0,0
551,19072016,0
552,0,0
553,33570848,1
554,0,0
555,1614823680,1
556,0,1
557,805306628,1
558,0,0
559,268469280,0
560,0,0
561,0,1
562,192,0
563,0,1
564,0,1
565,524928,1
566,0,0
567,0,0
568,0,0
569,0,1
570,0,0
571,1073774848,1
572,2751471616,1
573,33685506,1
574,2415931394,0
575,2752544,0
576,172032000,0
577,273154051,1
578,671203840,0
579,1107296260,1
580,262416,1
581,100929600,1
582,8393738,0
583,0,0
584,264192,0
585,0,1
586,0,0
587,0,1
588,0,1
589,1087733777,1
590,42730784,0
591,0,0
592,2048,0
593,285755457,1
594,4211040,0
595,2097664,1
596,536870912,1
597,2360000,1
598,0,0
599,2131968,0
600,0,0
601,38813825,1
602,1078993408,0
603,2416459936,1
604,184553472,1
605,0,1
606,1074268160,0
607,1076035720,0
608,0,0
609,0,1
610,1090588672,0
611,0,1
612,1384124416,1
613,0,1
614,1073741960,0
615,0,0
616,0,0
617,2164260864,1
618,67141633,0
619,0,1
620,0,1
621,1073742848,1
622,0,0
623,3290499201,0
624,0,0
625,0,1
626,6291472,0
627,69,1
628,0,1
629,393223,1
630,0,0
631,1092,0
632,108545,0
633,0,1
634,34177088,0
635,1074014208,1
636,263169,1
637,537396256,1
638,0,0
639,0,0
640,0,0
641,0,1
642,1180800,0
643,2290618368,1
644,20971584,1
645,0,1
646,0,0
647,848560130,0
648,2420114784,0
649,1342210113,1
650,402653760,0
651,536879136,1
652,0,1
653,12648472,1
654,17858752,0
655,0,0
656,0,0
657,0,1
658,10616836,0
659,0,1
660,0,1
661,1073776640,1
662,0,0
663,0,0
664,262192,0
665,0,1
666,0,0
667,67584,1
668,0,1
669,66944,1
670,8388608,0
671,545268096,0
672,0,0
673,0,1
674,98304,0
675,67113602,1
676,572917001,1
677,33733120,1
678,167904768,0
679,16,0
680,131216,0
681,0,1
682,0,0
683,0,1
684,1573441,1
685,67174400,1
686,537006084,0
687,2181038090,0
688,16812354,0
689,0,1
690,2171402,0
691,6424592,1
692,0,1
693,369098752,1
694,277881094,0
695,2214985745,0
696,557184,0
697,0,1
698,393216,0
699,524294,1
700,0,1
701,32768,1
702,33751168,0
703,1073880704,0
704,0,0
705,0,1
706,17170433,0
707,2621504,1
708,553681408,1
709,134221956,1
710,0,0
711,4195330,0
712,2153906433,0
713,1119232,1
714,16846848,0
715,0,1
716,269484353,1
717,541081616,1
718,1074792544,0
719,67249152,0
720,0,0
721,0,1
722,0,0
723,553910274,1
724,0,1
725,2102272,1
726,131105,0
727,84,0
728,36700480,0
729,336199680,1
730,554737920,0
731,1075881248,1
732,268439616,1
733,0,1
734,0,0
735,66560,0
736,2208596242,0
737,541065344,1
738,1745355008,0
739,0,1
740,0,1
741,40894464,1
742,167805092,0
743,0,0
