trajectory_id,epoch_id,time,valid,target_e,target_n,target_u,observed_x,observed_y,observed_z,clock_bias_m,force_e,force_n,force_u
0,0,1400000000.0,1,249.99999999776892,-120.0000000035359,3.0945557227823883e-10,3920120.49849291,343217.0582331072,5002808.267180955,74999.99999999792,0.0,0.0,0.0
0,1,1400000001.0,1,251.50000000050755,-119.20000000129929,0.3993336653224713,3920119.9846683894,343218.5190090457,5002809.074389359,75000.01999999833,0.0,0.0,0.0
0,2,1400000002.0,1,252.99999999943626,-118.39999999942476,0.7946773214170992,3920119.4683967223,343219.97957088274,5002809.878453593,75000.03999999781,0.0,0.0,0.0
0,3,1400000003.0,1,254.50000000101807,-117.59999999895277,1.1820808268855831,3920118.9472552133,343221.4397066665,5002810.676260902,75000.05999999915,0.0,0.0,0.0
0,4,1400000004.0,1,256.0000000011611,-116.79999999777249,1.5576733726309122,3920118.4188698214,343222.8992086912,5002811.464761048,75000.08000000042,0.0,0.0,0.0
0,5,1400000005.0,1,257.4999999973215,-116.00000000013569,1.917702153141624,3920117.8809388843,343224.3578755849,5002812.240996777,75000.10000000097,0.0,0.0,0.0
0,6,1400000006.0,1,258.9999999992645,-115.20000000214306,2.258569891194739,3920117.331256121,343225.81551433285,5002813.002133399,75000.11999999726,0.0,0.0,0.0
0,7,1400000007.0,1,260.5000000001463,-114.39999999955343,2.5768707513889364,3920116.767732666,343227.2719421761,5002813.745487082,75000.14000000177,0.0,0.0,0.0
0,8,1400000008.0,1,261.9999999995325,-113.60000000164662,2.869424365059009,3920116.188417947,343228.7269884613,5002814.468551654,75000.16000000015,0.0,0.0,0.0
0,9,1400000009.0,1,263.5000000010783,-112.7999999985127,3.13330764180723,3920115.59151917,343230.1804963429,5002815.169023696,75000.18000000207,0.0,0.0,0.0
0,10,1400000010.0,1,264.99999999771273,-112.00000000221347,3.3658839381876966,3920114.9754192424,343231.63232433656,5002815.844825497,75000.19999999752,0.0,0.0,0.0
0,11,1400000011.0,1,266.50000000157917,-111.20000000050345,3.5648294397845337,3920114.3386929147,343233.0823477613,5002816.494125873,75000.21999999773,0.0,0.0,0.0
0,12,1400000012.0,1,267.99999999852673,-110.40000000155514,3.728156344169129,3920113.680121038,343234.53045994125,5002817.1153584095,75000.23999999627,0.0,0.0,0.0
0,13,1400000013.0,1,269.50000000213385,-109.60000000186614,3.8542327419837505,3920112.998702728,343235.97657332395,5002817.707237147,75000.26000000178,0.0,0.0,0.0
0,14,1400000014.0,1,271.00000000083395,-108.80000000124897,3.9417989171207477,3920112.2936653784,343237.4206203035,5002818.268769415,75000.2800000007,0.0,0.0,0.0
0,15,1400000015.0,1,272.5000000004309,-108.00000000152218,3.9899799420202786,3920111.56447238,343238.8625539385,5002818.799265761,75000.29999999634,0.0,0.0,0.0
0,16,1400000016.0,1,273.9999999974047,-107.20000000011837,3.99829441493414,3920110.810828479,343240.3023483941,5002819.298346836,75000.32000000046,0.0,0.0,0.0
0,17,1400000017.0,1,275.5000000003707,-106.39999999869019,3.9666592390216433,3920110.032682711,343241.7399992201,5002819.765947158,75000.33999999947,0.0,0.0,0.0
0,18,1400000018.0,1,276.9999999998226,-105.59999999904467,3.8953905244819165,3920109.230228954,343243.17552336917,5002820.202315825,75000.36000000226,0.0,0.0,0.0
0,19,1400000019.0,1,278.49999999828594,-104.80000000040631,3.7852003528322147,3920108.4039039407,343244.6089590529,5002820.608013964,75000.37999999871,0.0,0.0,0.0
0,20,1400000020.0,1,280.0000000030042,-103.99999999918256,3.6371897068062893,3920107.5543829207,343246.04036535526,5002820.983909165,75000.3999999957,0.0,0.0,0.0
0,21,1400000021.0,1,281.50000000194797,-103.19999999851024,3.4528374699194373,3920106.6825729245,343247.4698216191,5002821.3311668,75000.4200000019,0.0,0.0,0.0
0,22,1400000022.0,1,282.9999999987023,-102.40000000077931,3.2339856189462672,3920105.7896036725,343248.8974266857,5002821.651238367,75000.44000000134,0.0,0.0,0.0
0,23,1400000023.0,1,284.4999999995527,-101.59999999866443,2.982820848363046,3920104.876816299,343250.3232978955,5002821.945847008,75000.45999999905,0.0,0.0,0.0
0,24,1400000024.0,1,286.0000000001252,-100.79999999860166,2.701852720635941,3920103.9457499706,343251.7475699037,5002822.216970283,75000.4799999995,0.0,0.0,0.0
